algorithm	parameter	inner_valid_AUROC	inner_valid_AUPRC
logistic	10.0	0.6295411584	0.2490217626
logistic	1.0	0.6290427243	0.2485634406
logistic	0.1	0.6284408415	0.2474316404
hgb	fixed	0.6076476729	0.2389789682
