mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LV	32	ridge	10.0	0.213151925	0.3603802904
LV	64	ridge	10.0	0.2115624787	0.3605626091
LV	32	hgb	fixed	0.2112836808	0.3594539659
LV	64	ridge	1.0	0.2084711857	0.3610658161
LV	64	ridge	0.1	0.2080683577	0.3612648197
LV	32	ridge	1.0	0.2074991192	0.3610457462
LV	32	ridge	0.1	0.2063604836	0.3613366974
LV	64	hgb	fixed	0.199822199	0.3597943043
LV	16	ridge	10.0	0.199210399	0.3626333774
LV	16	ridge	0.1	0.1928697835	0.3630530428
LV	16	ridge	1.0	0.1928163343	0.3630948512
LV	16	hgb	fixed	0.1910795952	0.3610780696
