mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LV	64	hgb	fixed	0.2090787349	0.3560180122
LV	32	hgb	fixed	0.2052369111	0.3567773781
LV	16	hgb	fixed	0.1990633629	0.3577589896
LV	32	ridge	10.0	0.1907772929	0.3598560134
LV	32	ridge	0.1	0.1872040816	0.3608939394
LV	32	ridge	1.0	0.1861782337	0.3605397319
LV	64	ridge	10.0	0.1854690035	0.3607229441
LV	64	ridge	0.1	0.1850507576	0.3612661512
LV	64	ridge	1.0	0.1840527857	0.3611031509
LV	16	ridge	10.0	0.1739772674	0.3605789276
LV	16	ridge	1.0	0.1684934467	0.3614937881
LV	16	ridge	0.1	0.1666545357	0.3620948869
