algorithm	parameter	inner_valid_AUROC	inner_valid_AUPRC
hgb	fixed	0.6454655008	0.285166798
logistic	0.1	0.6109849971	0.2642109482
logistic	10.0	0.6108168451	0.2654520797
logistic	1.0	0.6104711993	0.2643442478
