checkpoint_fold	expert_id	mode	quantile	empirical_coverage	pinball_loss	mean_predicted_quantile	mean_q90_minus_q50_interval_width
1	moddrop_seed1111	LAV	0.5	0.4865073246	0.1750809334	0.4288507694	0.8011488737
1	moddrop_seed1111	LAV	0.8	0.7964533539	0.1533522844	0.8943099805	0.8011488737
1	moddrop_seed1111	LAV	0.9	0.8966846569	0.1050381167	1.229999643	0.8011488737
1	moddrop_seed1111	LA	0.5	0.4926754048	0.1750841994	0.4280453607	0.811041167
1	moddrop_seed1111	LA	0.8	0.799537394	0.1539972413	0.8986075323	0.811041167
1	moddrop_seed1111	LA	0.9	0.8928296068	0.1059020288	1.239086528	0.811041167
1	moddrop_seed1111	LV	0.5	0.4888203547	0.1746769093	0.4318662861	0.8032560731
1	moddrop_seed1111	LV	0.8	0.8057054742	0.15371828	0.8989093327	0.8032560731
1	moddrop_seed1111	LV	0.9	0.898997687	0.1057838269	1.235122359	0.8032560731
1	moddrop_seed1111	L	0.5	0.4957594449	0.175053741	0.4318927434	0.8045108524
1	moddrop_seed1111	L	0.8	0.800308404	0.1539704187	0.9060646343	0.8045108524
1	moddrop_seed1111	L	0.9	0.899768697	0.1061811429	1.236403596	0.8045108524
