checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
1	moddrop_seed1111	LAV	R0_global	0.1	130	0.5468165569	0.5629070639	0.5612942914	0.01447773452
1	moddrop_seed1111	LAV	R0_global	0.2	260	0.5421901419	0.5660841457	0.5612942914	0.01910414949
1	moddrop_seed1111	LAV	R0_global	0.3	390	0.5487327014	0.5666956366	0.5612942914	0.01256159
1	moddrop_seed1111	LAV	R0_global	0.5	649	0.5743041271	0.5482643788	0.5612942914	-0.01300983571
1	moddrop_seed1111	LAV	R0_global	0.7	908	0.5616440781	0.5604778227	0.5612942914	-0.0003497866946
1	moddrop_seed1111	LAV	R0_global	1	1297	0.5612942914	0	0.5612942914	0
1	moddrop_seed1111	LAV	R0_mode	0.1	130	0.5468165569	0.5629070639	0.5612942914	0.01447773452
1	moddrop_seed1111	LAV	R0_mode	0.2	260	0.5421901419	0.5660841457	0.5612942914	0.01910414949
1	moddrop_seed1111	LAV	R0_mode	0.3	390	0.5487327014	0.5666956366	0.5612942914	0.01256159
1	moddrop_seed1111	LAV	R0_mode	0.5	649	0.5743041271	0.5482643788	0.5612942914	-0.01300983571
1	moddrop_seed1111	LAV	R0_mode	0.7	908	0.5616440781	0.5604778227	0.5612942914	-0.0003497866946
1	moddrop_seed1111	LAV	R0_mode	1	1297	0.5612942914	0	0.5612942914	0
1	moddrop_seed1111	LAV	R1	0.1	130	0.4064864017	0.5785393863	0.5612942914	0.1548078897
1	moddrop_seed1111	LAV	R1	0.2	260	0.426634718	0.595056576	0.5612942914	0.1346595735
1	moddrop_seed1111	LAV	R1	0.3	390	0.4709194157	0.6001544916	0.5612942914	0.0903748757
1	moddrop_seed1111	LAV	R1	0.5	649	0.4819743045	0.6407366858	0.5612942914	0.07931998695
1	moddrop_seed1111	LAV	R1	0.7	908	0.5131464882	0.6736804234	0.5612942914	0.04814780325
1	moddrop_seed1111	LAV	R1	1	1297	0.5612942914	0	0.5612942914	0
1	moddrop_seed1111	LAV	R2	0.1	130	0.3160746195	0.5886109644	0.5612942914	0.2452196719
1	moddrop_seed1111	LAV	R2	0.2	260	0.3740507656	0.6082405949	0.5612942914	0.1872435258
1	moddrop_seed1111	LAV	R2	0.3	390	0.4126843542	0.625194926	0.5612942914	0.1486099372
1	moddrop_seed1111	LAV	R2	0.5	649	0.4639455878	0.6587932245	0.5612942914	0.0973487036
1	moddrop_seed1111	LAV	R2	0.7	908	0.5191301962	0.6597133106	0.5612942914	0.0421640952
1	moddrop_seed1111	LAV	R2	1	1297	0.5612942914	0	0.5612942914	0
1	moddrop_seed1111	LAV	N3_output_only	0.1	130	0.4064864017	0.5785393863	0.5612942914	0.1548078897
1	moddrop_seed1111	LAV	N3_output_only	0.2	260	0.426634718	0.595056576	0.5612942914	0.1346595735
1	moddrop_seed1111	LAV	N3_output_only	0.3	390	0.4709194157	0.6001544916	0.5612942914	0.0903748757
1	moddrop_seed1111	LAV	N3_output_only	0.5	649	0.4819743045	0.6407366858	0.5612942914	0.07931998695
