Epoch,GlobalOptimizerStep,JValid,LearningRate,TrainBatches,TrainSamples,SamplesPerSecond,EpochWallSeconds,PeakGPUMemoryBytes,GradientNormBeforeClip,ScalerScale,SampledLA,SampledLV,SampledL,full_loss,missing_loss,kd_loss,total_loss,support_task_all,support_task_c,support_task_l_hetero,support_task_v_hetero,support_task_a_hetero,support_absent_reconstruction,support_absent_specific_consistency,support_absent_orthogonality,support_absent_triplet,L_reg,L_Acc2,L_Acc5,L_Acc7,weighted_reg,weighted_ordinal,supervised_gradient_norm,kd_gradient_norm,gradient_cosine,LAV_acc_7,LAV_acc_5,LAV_acc_2,LAV_F1_score,LAV_Corr,LAV_MAE,LAV_Loss,LAV_PredictionStd,LA_acc_7,LA_acc_5,LA_acc_2,LA_F1_score,LA_Corr,LA_MAE,LA_Loss,LA_PredictionStd,LV_acc_7,LV_acc_5,LV_acc_2,LV_F1_score,LV_Corr,LV_MAE,LV_Loss,LV_PredictionStd,L_acc_7,L_acc_5,L_acc_2,L_F1_score,L_Corr,L_MAE,L_Loss,L_PredictionStd
1,103,0.5994941194852192,0.0001,1021,16326,64.39504229997134,253.5288348250324,3276633600,83.46188552534073,1.0,5452,5527,5347,4.0254969210395855,2.3832356716696825,0.03583135783542805,6.4445639401528325,0.4261951711572466,0.4294895952700635,0.41713863220084074,0.1402353266378122,0.13589968079455694,0.0,0.0,0.0,0.0,0.03583135783542805,0.0,0.0,0.0,0.03583135783542805,0.0,2281.7017720092927,368.7465641337988,-0.4233001883495339,0.4660609299839658,0.484233030464992,0.8400556328233658,0.8328029411567697,0.7299199373960692,0.6001958250999451,0.6001882293285468,0.9360105991363525,0.4740780331373597,0.4922501336183859,0.8393602225312935,0.8314378978648976,0.7269934452038238,0.6009186506271362,0.6009133929370815,0.9179091453552246,0.46766435061464456,0.48583645109567075,0.8421418636995828,0.8344980384501768,0.7301132561054705,0.5968529582023621,0.5968414606192173,0.9208022952079773,0.47621592731159806,0.4938535542490647,0.8351877607788595,0.8264575397556557,0.7270746373012912,0.5986056327819824,0.5985963229949658,0.9032087922096252
2,206,0.5387563904126484,0.0001,1021,16326,63.66143322411741,256.4504004520131,4233362432,134.2910627793258,1.0,5544,5350,5432,2.7467536535132293,1.9645131944909502,0.062471420354557376,4.773738256981277,0.35361247046337074,0.350955454889871,0.34393943242006275,0.10977626898500203,0.1183507041371702,0.0,0.0,0.0,0.0,0.062471420354557376,0.0,0.0,0.0,0.062471420354557376,0.0,79.17564214840975,3.78655289997804,0.5286251263639982,0.5269909139497595,0.5408872260823089,0.8477051460361613,0.8426037316525805,0.7400171779032924,0.5381975769996643,0.538155415119269,0.8350772261619568,0.5269909139497595,0.5408872260823089,0.8428372739916551,0.8365083819377473,0.7358276617577648,0.5441446304321289,0.5440992549953297,0.8183491826057434,0.5339390700160342,0.5478353821485836,0.8463143254520167,0.8414006194188753,0.7397757969522644,0.533649206161499,0.5335973045255384,0.8166482448577881,0.530197755211117,0.5440940673436665,0.844923504867872,0.8389952917940353,0.7354891863024003,0.5401517748832703,0.5400969026944576,0.8007736206054688
3,309,0.5404656827449799,0.0001,1021,16326,63.66302474884362,256.4439897920238,4238048256,84.36116175373246,1.0,5510,5343,5473,2.195389779494395,1.6508153368163412,0.07107032231811386,3.917275438579593,0.29941589364108795,0.29455015961587955,0.2883963411223293,0.09332834161365593,0.09833191850233593,0.0,0.0,0.0,0.0,0.07107032231811386,0.0,0.0,0.0,0.07107032231811386,0.0,42.74170815045265,1.7385800838841816,0.1389322170553054,0.5269909139497595,0.5435595938001069,0.8442280945757997,0.8435626090654207,0.7340204575280757,0.5413579940795898,0.5413164784256209,0.9214763045310974,0.5280598610368786,0.5446285408872261,0.8435326842837274,0.842825165986833,0.7315837248964221,0.5408635139465332,0.5408179444125575,0.9001531004905701,0.5259219668626403,0.5424906467129877,0.844923504867872,0.844299501766325,0.7334172380649191,0.5386360287666321,0.5385914536622854,0.8980634808540344,0.5323356493853554,0.5489043292357029,0.8442280945757997,0.8434058274186177,0.7309321329268061,0.5392205715179443,0.5391717568421975,0.8778030276298523
4,412,0.5360575616359711,0.0001,1021,16326,63.27110853161647,258.03246403695084,4238048256,51.88726008824021,1.0,5557,5423,5346,1.8098535634628357,1.3836619305213682,0.08148824985811338,3.2750037464876014,0.2508914365590961,0.24745974510937316,0.24111381987516606,0.07924973977871977,0.0827195506171669,0.0,0.0,0.0,0.0,0.08148824985811338,0.0,0.0,0.0,0.08148824985811338,0.0,38.84839904163004,1.3673316845496033,0.014372703518952814,0.5312667022982362,0.5467664350614645,0.8477051460361613,0.84773944269857,0.7426857336440363,0.5374603867530823,0.5374195104480809,0.9197708368301392,0.5307322287546766,0.5462319615179049,0.8477051460361613,0.8476010993406993,0.7409003989622812,0.5356820821762085,0.5356360691734868,0.8975984454154968,0.5291288081239979,0.5440940673436665,0.8511821974965229,0.8510462579145142,0.7424146409741423,0.5343468189239502,0.5343008161100566,0.8936002254486084,0.5339390700160342,0.5489043292357029,0.8511821974965229,0.8507652538025154,0.740629086012274,0.5339353084564209,0.5338849993343027,0.8729931116104126
5,515,0.5389508803685505,0.0001,1021,16326,63.238347272700125,258.1661402499303,4238048256,52.40895777119489,1.0,5575,5314,5437,1.6012757241901057,1.2387278024818709,0.08969048428714976,2.929694009924729,0.22638304997874054,0.22073921626187445,0.21571143534870035,0.07002004373720122,0.07445118617837433,0.0,0.0,0.0,0.0,0.08969048428714976,0.0,0.0,0.0,0.08969048428714976,0.0,41.49569971078552,2.61905672474745,0.2917064223364685,0.5195082843399251,0.5339390700160342,0.849095966620306,0.84878148598816,0.7375128242737831,0.5407437682151794,0.5406650167245132,0.917445719242096,0.5200427578834848,0.5344735435595938,0.8477051460361613,0.8473877669650094,0.7357193834883485,0.5384244322776794,0.5383413268460168,0.8945287466049194,0.5216461785141635,0.535542490646713,0.849095966620306,0.8486366851126407,0.7371542005508795,0.5372034311294556,0.5371199262957288,0.8912510275840759,0.518439337252806,0.5323356493853554,0.8504867872044506,0.8499588436597971,0.7352520831113732,0.5358461141586304,0.5357592187376103,0.8696120381355286
6,618,0.5317489703496296,0.0001,1021,16326,63.024245620578604,259.04316491493955,4238048256,53.281681281895544,1.0,5375,5490,5461,1.416349577973802,1.0959197434575738,0.09472267614106532,2.606992004550519,0.20153774754541043,0.1956007463253677,0.19100838735422354,0.06251723176857181,0.06323885350432484,0.0,0.0,0.0,0.0,0.09472267614106532,0.0,0.0,0.0,0.09472267614106532,0.0,46.60846367678891,2.256783948090133,-0.03822817529980024,0.5446285408872261,0.5606627471940139,0.8358831710709318,0.8380365555965316,0.7397184525417001,0.5327738523483276,0.5326827517432026,0.906700611114502,0.5344735435595938,0.5505077498663816,0.8317107093184979,0.8339188409083077,0.7386633810379835,0.5313987731933594,0.5312996366594591,0.8821362257003784,0.5366114377338321,0.5521111704970604,0.8324061196105702,0.8346748696594232,0.7394461079900512,0.5305788516998291,0.5304798476206951,0.8806276917457581,0.5408872260823089,0.5558524853019775,0.8303198887343533,0.8325462693455664,0.7382729069192587,0.5301946401596069,0.5300900235644772,0.8579087853431702
7,721,0.5306173662344615,0.0001,1021,16326,63.699823609533304,256.2958437890047,4238048256,76.78036620898109,1.0,5412,5434,5480,1.272953125919114,0.9868467716932531,0.09959695153084312,2.3593968505607177,0.18260086603630535,0.17573782806006516,0.1715347109313226,0.057475558725203026,0.05642838648841493,0.0,0.0,0.0,0.0,0.09959695153084312,0.0,0.0,0.0,0.09959695153084312,0.0,60.74747098192499,3.0781405413830067,0.2686427269508447,0.530197755211117,0.5446285408872261,0.8379694019471489,0.8396822965770238,0.7419474929184218,0.5317636728286743,0.5316599788319352,0.8749324679374695,0.5291288081239979,0.5435595938001069,0.8372739916550765,0.8388620008807086,0.7410864818488007,0.5298393964767456,0.5297305795372041,0.8494425415992737,0.5334045964724746,0.5478353821485836,0.8372739916550765,0.8390713358774061,0.7415232970727791,0.5298706293106079,0.529761324580918,0.8489425778388977,0.5318011758417959,0.5456974879743453,0.8372739916550765,0.8388620008807086,0.7405678502245282,0.5287031531333923,0.5285895291047219,0.8256150484085083
8,824,0.524890273809433,0.0001,1021,16326,63.52041386190827,257.0197367540095,4238048256,56.17336298458248,1.0,5404,5544,5378,1.1764355350603202,0.9100869262954047,0.10256369322917837,2.1890861584087076,0.16875736376710315,0.16150380833754927,0.15802829324046147,0.05278507413444758,0.05295579856257962,0.0,0.0,0.0,0.0,0.10256369322917837,0.0,0.0,0.0,0.10256369322917837,0.0,47.89637600299201,3.74242261155066,0.35117543207507484,0.5334045964724746,0.5478353821485836,0.8442280945757997,0.8454259775224299,0.7431596373436593,0.5260869860649109,0.5260035540813055,0.8583380579948425,0.5296632816675575,0.5435595938001069,0.8414464534075105,0.842550425692763,0.7425172753964987,0.5243474245071411,0.5242572442079202,0.8335649371147156,0.532870122928915,0.5467664350614645,0.8435326842837274,0.8447077466623706,0.7430804145315627,0.5237733125686646,0.5236814590091379,0.8324811458587646,0.5296632816675575,0.5430251202565473,0.8414464534075105,0.8424321093652037,0.7422778382595832,0.5229599475860596,0.5228629094413203,0.8106756210327148
9,927,0.5213337540626526,0.0001,1021,16326,63.59238440137314,256.7288550080266,4238048256,54.926002862139285,1.0,5438,5411,5477,1.0700132828442988,0.8325312595584601,0.10596479136536918,2.0085093336988034,0.15552818804731214,0.14797182927723612,0.14441594785767134,0.047444441607066894,0.04833895757923908,0.0,0.0,0.0,0.0,0.10596479136536918,0.0,0.0,0.0,0.10596479136536918,0.0,37.10203293539588,2.661440913730276,0.24567109837030338,0.5398182789951897,0.5531801175841796,0.8428372739916551,0.8442655476770995,0.7422479221406025,0.5209972858428955,0.5208510213937515,0.8106537461280823,0.5408872260823089,0.5537145911277391,0.8414464534075105,0.8427780341086206,0.7414963691333566,0.5217912197113037,0.5216426038079791,0.7873568534851074,0.5430251202565473,0.5558524853019775,0.8428372739916551,0.8441571741602995,0.7420618348625294,0.5210460424423218,0.5208960591982572,0.7876604795455933,0.5387493319080705,0.5515766969535008,0.8421418636995828,0.8433840220360306,0.7411659142873217,0.5221734046936035,0.5220225324742814,0.7672096490859985
10,1030,0.5274726748466492,0.0001,1021,16326,63.93850847669033,255.3390816419851,4238048256,56.689598743814614,1.0,5388,5482,5456,1.012565355839155,0.7919544104147378,0.1078528544622,1.9123726219785318,0.1482823400791957,0.14107328996675256,0.13735579446425167,0.04485435764525126,0.045677040041133356,0.0,0.0,0.0,0.0,0.1078528544622,0.0,0.0,0.0,0.1078528544622,0.0,37.11239030869392,1.4132624955813156,-0.08129313358677921,0.5195082843399251,0.5350080171031534,0.847009735744089,0.8456375754361164,0.7393903061504734,0.5278723239898682,0.5277673133418092,0.8578083515167236,0.5189738107963656,0.535542490646713,0.8477051460361613,0.8462975397057525,0.7383514248933725,0.5273489952087402,0.527237373794246,0.8335853815078735,0.5237840726884019,0.5403527525387494,0.8463143254520167,0.8447235095814986,0.7389115409007508,0.5266920328140259,0.5265825271097004,0.8334705233573914,0.5243185462319615,0.5403527525387494,0.8477051460361613,0.8461287266893582,0.7378041532159545,0.5271780490875244,0.5270637255958003,0.8123523592948914
