mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
L	16	ridge	10.0	0.1774996077	0.3583251601
L	64	ridge	10.0	0.1737955095	0.3602387044
L	32	ridge	10.0	0.1713336365	0.3585877829
L	16	ridge	1.0	0.168855653	0.3591531588
L	16	ridge	0.1	0.1665589818	0.3592580211
L	64	ridge	1.0	0.1649743446	0.3608572343
L	64	ridge	0.1	0.1646531733	0.3608898952
L	16	hgb	fixed	0.1624155013	0.3621141769
L	32	ridge	1.0	0.1615682016	0.359215238
L	32	ridge	0.1	0.1608192602	0.3592914983
L	32	hgb	fixed	0.1535138271	0.3624126678
L	64	hgb	fixed	0.145381756	0.3629775268
