Epoch,GlobalOptimizerStep,JValid,LearningRate,TrainBatches,TrainSamples,SamplesPerSecond,EpochWallSeconds,PeakGPUMemoryBytes,GradientNormBeforeClip,ScalerScale,SampledLA,SampledLV,SampledL,full_loss,missing_loss,kd_loss,total_loss,support_task_all,support_task_c,support_task_l_hetero,support_task_v_hetero,support_task_a_hetero,support_absent_reconstruction,support_absent_specific_consistency,support_absent_orthogonality,support_absent_triplet,L_reg,L_Acc2,L_Acc5,L_Acc7,weighted_reg,weighted_ordinal,supervised_gradient_norm,kd_gradient_norm,gradient_cosine,LAV_acc_7,LAV_acc_5,LAV_acc_2,LAV_F1_score,LAV_Corr,LAV_MAE,LAV_Loss,LAV_PredictionStd,LA_acc_7,LA_acc_5,LA_acc_2,LA_F1_score,LA_Corr,LA_MAE,LA_Loss,LA_PredictionStd,LV_acc_7,LV_acc_5,LV_acc_2,LV_F1_score,LV_Corr,LV_MAE,LV_Loss,LV_PredictionStd,L_acc_7,L_acc_5,L_acc_2,L_F1_score,L_Corr,L_MAE,L_Loss,L_PredictionStd
1,103,0.5670788685480754,0.0001,1021,16326,63.69818702122758,256.3024290469475,0,98.08694813361645,1.0,5452,5527,5347,4.073657341264955,2.430725216982297,0.041112552899101075,6.545495108455916,0.4506914715166774,0.42995913967446414,0.42356110964769483,0.1415088025613138,0.1378824689387217,0.0,0.0,0.0,0.0,0.041112552899101075,0.0,0.0,0.0,0.041112552899101075,0.0,47.13134539713391,1.0593262866309603,0.28949797070315697,0.501336183858899,0.5189738107963656,0.844923504867872,0.8427820119623887,0.7318808562486138,0.5761175751686096,0.5760801987260835,0.9906435608863831,0.504008551576697,0.521111704970604,0.8428372739916551,0.8402384242140367,0.7273523252720584,0.568224310874939,0.5681799769910991,0.9245578050613403,0.51309460181721,0.5269909139497595,0.8400556328233658,0.8374107857045505,0.7307809982321368,0.5528805255889893,0.5528032815354502,0.8861918449401855,0.5024051309460181,0.5114911811865313,0.8344923504867872,0.8302260169835703,0.7250130167428324,0.5530156493186951,0.5529210478322119,0.805535614490509
2,206,0.5206957856814067,0.0001,1021,16326,62.98837113898981,259.19070044194814,0,104.86287860701835,1.0,5544,5350,5432,2.75105509480113,1.9730713349364764,0.060110532788123776,4.784236960733322,0.3630066601583236,0.3494450570495542,0.34385070689277947,0.11036613383572129,0.11870136505780043,0.0,0.0,0.0,0.0,0.060110532788123776,0.0,0.0,0.0,0.060110532788123776,0.0,78.03982736693371,3.16593944369498,0.6543225636238436,0.535542490646713,0.5505077498663816,0.8539638386648123,0.8521611735020609,0.74819729130004,0.5191242098808289,0.5190555137446803,0.8405212163925171,0.5408872260823089,0.555318011758418,0.8532684283727399,0.850039283019525,0.7440079793058697,0.5251291394233704,0.525051254237819,0.7918774485588074,0.5414216996258685,0.555318011758418,0.8518776077885952,0.8504268775990943,0.7474134536380264,0.5156757235527039,0.5155728033974639,0.7900914549827576,0.5339390700160342,0.5467664350614645,0.8553546592489569,0.8526904937849886,0.7414286588057103,0.5259972214698792,0.5258943647400945,0.7662357091903687
3,309,0.5365423858165741,0.0001,1021,16326,62.63148556517263,260.66761601297185,0,85.77891202134023,1.0,5510,5343,5473,2.183244104658588,1.6466264152620262,0.06900909277505582,3.898879616080722,0.3063772925915494,0.290928006515155,0.2861100693947538,0.09292010093804715,0.09807080899508457,0.0,0.0,0.0,0.0,0.06900909277505582,0.0,0.0,0.0,0.06900909277505582,0.0,35.43853522555979,1.0070936886172446,0.2613580140600761,0.5318011758417959,0.5478353821485836,0.8567454798331016,0.8553026303328556,0.7316972991698794,0.5385878086090088,0.538516563992215,0.8982958197593689,0.5307322287546766,0.5467664350614645,0.8560500695410292,0.854397299325554,0.7289136212882746,0.5350062847137451,0.5349226278117579,0.8436636924743652,0.5307322287546766,0.5462319615179049,0.8574408901251739,0.8559652464443764,0.7316387521133991,0.5317201614379883,0.5316299059961596,0.8394044637680054,0.5296632816675575,0.5440940673436665,0.8588317107093185,0.85654092377556,0.7272038478575513,0.5367644429206848,0.5366706929655156,0.8129720091819763
4,412,0.5310924351215363,0.0001,1021,16326,62.58198385118807,260.8738013909897,0,60.618273716597336,1.0,5557,5423,5346,1.8092007949933717,1.3954973315982464,0.07723142562596443,3.281929557400516,0.26036131424313075,0.2476474642753601,0.24175627355214782,0.07856660157015198,0.08365313121962319,0.0,0.0,0.0,0.0,0.07723142562596443,0.0,0.0,0.0,0.07723142562596443,0.0,60.33613220045086,0.9893229906797165,0.09535786160829661,0.5285943345804383,0.5446285408872261,0.8518776077885952,0.8524194972145421,0.7400942342799878,0.533798336982727,0.5337674202572587,0.9252013564109802,0.532870122928915,0.5478353821485836,0.8539638386648123,0.8542844605133539,0.7383707486063926,0.5288329720497131,0.5287809886484065,0.8721492290496826,0.5318011758417959,0.5467664350614645,0.8497913769123783,0.8494426029572673,0.7402175146307531,0.5268043875694275,0.5267538237266052,0.864348828792572,0.5259219668626403,0.5398182789951897,0.8511821974965229,0.8513151267841711,0.736494752077429,0.5295222401618958,0.529460065639936,0.8475908041000366
5,515,0.533049503962199,0.0001,1021,16326,62.21302415773538,262.42093592195306,0,64.34316367753962,1.0,5575,5314,5437,1.5641287229553842,1.220023272407627,0.08442275032554329,2.868574752630146,0.23054487196168516,0.21536777386702707,0.2111376381016735,0.06791116189153228,0.07278654963734954,0.0,0.0,0.0,0.0,0.08442275032554329,0.0,0.0,0.0,0.08442275032554329,0.0,37.278025555011816,1.8787086919479574,0.015231107018717629,0.5253874933190807,0.5408872260823089,0.8511821974965229,0.8493451958544811,0.7369152527945813,0.5340540409088135,0.5339648058781257,0.8554714918136597,0.521111704970604,0.5350080171031534,0.8484005563282336,0.8466165888035996,0.7350515711549356,0.5315719246864319,0.5314653701761849,0.8011703491210938,0.5269909139497595,0.5408872260823089,0.8511821974965229,0.8491711636048288,0.7366460869196608,0.5308215022087097,0.5307211050620446,0.8129564523696899,0.521111704970604,0.5350080171031534,0.8504867872044506,0.8489391609050778,0.7331899480540203,0.5337414741516113,0.5336373030629933,0.7997727394104004
6,618,0.5251024663448334,0.0001,1021,16326,62.456125620917085,261.39950025302824,0,58.460573498694394,1.0,5375,5490,5461,1.3902690297943137,1.0810348175239843,0.09130764950749105,2.5626114960632176,0.20625233423990086,0.18956914895837151,0.18730951430427456,0.06139089672184977,0.06189389712378806,0.0,0.0,0.0,0.0,0.09130764950749105,0.0,0.0,0.0,0.09130764950749105,0.0,47.74356025332684,2.415589472317038,0.41026516915592326,0.5350080171031534,0.5505077498663816,0.847009735744089,0.8481309624372969,0.7416387006053363,0.5263339877128601,0.5262119744577979,0.8505980372428894,0.5350080171031534,0.5489043292357029,0.847009735744089,0.8481862279238154,0.7402022651364767,0.5253382921218872,0.5252058811676807,0.8064566254615784,0.5398182789951897,0.5537145911277391,0.849095966620306,0.8497094373160682,0.7416602156639743,0.5221215486526489,0.5219924047461941,0.7985913753509521,0.532870122928915,0.5467664350614645,0.847009735744089,0.8471463920211103,0.7394180692575313,0.5241529941558838,0.5240239964591132,0.7894486784934998
7,721,0.5360319018363953,0.0001,1021,16326,63.021447513661855,259.05466580798384,0,75.5475250986497,1.0,5412,5434,5480,1.2726365605717658,1.0053905081678909,0.09390852575342697,2.3719355912913773,0.19241881215111165,0.17710004296668247,0.17340634129832003,0.0582757733094558,0.05737685473990626,0.0,0.0,0.0,0.0,0.09390852575342697,0.0,0.0,0.0,0.09390852575342697,0.0,37.9873525631645,2.0490811733390983,0.06888082688281079,0.5216461785141635,0.5371459112773918,0.8518776077885952,0.8508272772807761,0.7403319813469157,0.5389260053634644,0.5388630108955579,0.9153066873550415,0.5205772314270444,0.5360769641902726,0.8539638386648123,0.8528897131236214,0.7391179234297772,0.5330592393875122,0.5329809018179902,0.8631024956703186,0.521111704970604,0.5371459112773918,0.8525730180806675,0.8514101564993526,0.7401549942045047,0.5320047736167908,0.5319251802741972,0.861223578453064,0.5152324959914484,0.5312667022982362,0.8511821974965229,0.849765793984311,0.7376456647269202,0.5343493819236755,0.5342712160359081,0.8525455594062805
8,824,0.5332301755746205,5e-05,1021,16326,62.86595457538399,259.6954128170619,0,65.28893639431196,1.0,5404,5544,5378,1.1529708593996217,0.9036024721315629,0.09890865494043774,2.1554819874385194,0.17428469671033156,0.15845636581960085,0.15555431090302613,0.052374859454281754,0.05182361614322117,0.0,0.0,0.0,0.0,0.09890865494043774,0.0,0.0,0.0,0.09890865494043774,0.0,27.339319360989087,3.2106610686180206,0.1434601457346875,0.5360769641902726,0.5531801175841796,0.8421418636995828,0.8433840220360306,0.7366730377356983,0.5360099673271179,0.5359239917025607,0.9265782237052917,0.538214858364511,0.5547835382148584,0.8421418636995828,0.8432699735352669,0.7355596397319424,0.530653715133667,0.5305556058883667,0.8756051063537598,0.5440940673436665,0.5606627471940139,0.8421418636995828,0.8433840220360306,0.7367564201558491,0.5291212797164917,0.5290146383464845,0.8725757598876953,0.5424906467129877,0.5590593265633351,0.8407510431154381,0.8419469954919239,0.7339994191944744,0.5315761566162109,0.5314749000418899,0.8690470457077026
9,927,0.5187691450119019,5e-05,1021,16326,62.173537923419,262.58759890694637,0,60.6337463527631,1.0,5438,5411,5477,1.0032411417636535,0.7903102364584468,0.10144159646867158,1.8949929772931846,0.1549685038735654,0.13834639496364276,0.13562475593649326,0.04507262696512956,0.045048440584454987,0.0,0.0,0.0,0.0,0.10144159646867158,0.0,0.0,0.0,0.10144159646867158,0.0,37.59926363713258,2.2716171544331596,0.47492942833003216,0.5344735435595938,0.5483698556921432,0.8456189151599444,0.8458916133236661,0.7453072983174969,0.520006000995636,0.5199099032797365,0.8780604600906372,0.5339390700160342,0.5478353821485836,0.8484005563282336,0.8484005563282336,0.7444677060823648,0.5173282027244568,0.517215643173609,0.8273042440414429,0.5371459112773918,0.5515766969535008,0.8477051460361613,0.8475307672174311,0.7450010287398638,0.5169786810874939,0.5168683905886788,0.8337543606758118,0.5339390700160342,0.5483698556921432,0.8497913769123783,0.8495844150732297,0.7430477851185334,0.5182899832725525,0.5181817898892949,0.8238699436187744
10,1030,0.5230749646822612,5e-05,1021,16326,63.20291644576713,258.3108651340008,0,65.08058817736584,1.0,5388,5482,5456,0.7700251568542988,0.6031492403275119,0.10483054250996855,1.4780049444879537,0.12250239587408088,0.10569917595234721,0.10209498862050889,0.034577551021456834,0.03408515196061902,0.0,0.0,0.0,0.0,0.10483054250996855,0.0,0.0,0.0,0.10483054250996855,0.0,30.05046880557389,1.5655661123235216,-0.3340571842388192,0.5339390700160342,0.5510422234099412,0.8484005563282336,0.8481916781757596,0.7453337151382556,0.5236462950706482,0.5235568937073406,0.864284873008728,0.5275253874933191,0.5419561731694281,0.8484005563282336,0.8481916781757596,0.7444695542266816,0.5225957036018372,0.5224944880375495,0.8248991370201111,0.5280598610368786,0.5419561731694281,0.849095966620306,0.8488527199327529,0.7451584320106562,0.5217775106430054,0.5216741816610353,0.8269290924072266,0.5269909139497595,0.5414216996258685,0.847009735744089,0.8466545030120314,0.7433009609181518,0.5231376886367798,0.5230389273064768,0.8259806036949158
