mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LAV	16	hgb	fixed	0.2162732463	0.3477344986
LAV	32	ridge	0.1	0.2137241459	0.3455525751
LAV	32	hgb	fixed	0.2133132087	0.3473338597
LAV	64	hgb	fixed	0.2108959535	0.3468196774
LAV	32	ridge	1.0	0.2099257897	0.3460913855
LAV	32	ridge	10.0	0.207901396	0.3460524705
LAV	16	ridge	0.1	0.2032730187	0.34760631
LAV	16	ridge	1.0	0.1982994226	0.3483023081
LAV	16	ridge	10.0	0.1967714893	0.3481918112
LAV	64	ridge	0.1	0.1958074036	0.3484997116
LAV	64	ridge	1.0	0.1915609246	0.3490485648
LAV	64	ridge	10.0	0.1892844765	0.3484940387
