algorithm	parameter	inner_valid_AUROC	inner_valid_AUPRC
hgb	fixed	0.8760846561	0.1798466318
logistic	0.1	0.8642328042	0.1592089559
logistic	1.0	0.8592804233	0.1448384954
logistic	10.0	0.8529100529	0.1366670989
