mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
L	16	ridge	10.0	0.1712201323	0.3545729538
L	16	ridge	1.0	0.1695967584	0.354913443
L	16	hgb	fixed	0.1678890352	0.3526326402
L	16	ridge	0.1	0.1665486239	0.354750679
L	32	hgb	fixed	0.1659974313	0.3531140287
L	32	ridge	10.0	0.165930439	0.3554044303
L	32	ridge	1.0	0.1639183887	0.3556690395
L	64	hgb	fixed	0.1635952489	0.352500261
L	32	ridge	0.1	0.1628120666	0.3554583894
L	64	ridge	10.0	0.1568170714	0.3561122115
L	64	ridge	1.0	0.1562355181	0.3558885158
L	64	ridge	0.1	0.154939252	0.3556156796
