mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LAV	64	hgb	fixed	0.2109052556	0.3423973805
LAV	64	ridge	0.1	0.2037445552	0.3413585664
LAV	64	ridge	10.0	0.2026008911	0.3423758866
LAV	32	hgb	fixed	0.2017813121	0.342578837
LAV	64	ridge	1.0	0.2013903834	0.3421198075
LAV	32	ridge	0.1	0.200898476	0.3430303317
LAV	16	hgb	fixed	0.1958206998	0.3441978396
LAV	32	ridge	1.0	0.1948939657	0.3443448079
LAV	32	ridge	10.0	0.1930300253	0.3453053684
LAV	16	ridge	0.1	0.1828377554	0.3445694084
LAV	16	ridge	10.0	0.1825441436	0.3458365881
LAV	16	ridge	1.0	0.1787724554	0.345436447
