mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
L	32	ridge	10.0	0.1897019191	0.3610200958
L	16	ridge	10.0	0.1893172095	0.3603091276
L	32	ridge	1.0	0.1872944604	0.3615485339
L	16	ridge	1.0	0.186854541	0.3608735465
L	32	ridge	0.1	0.1845346971	0.3612468702
L	16	ridge	0.1	0.1825740846	0.3610065639
L	64	hgb	fixed	0.1784499185	0.3623556006
L	64	ridge	10.0	0.1777715924	0.3611952953
L	64	ridge	1.0	0.1751809706	0.3616726883
L	16	hgb	fixed	0.1750693835	0.3615305684
L	64	ridge	0.1	0.1712665698	0.3614778047
L	32	hgb	fixed	0.1689834616	0.3618309561
