mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LA	64	ridge	0.1	0.2225170806	0.3410796085
LA	64	ridge	10.0	0.2217220932	0.3421556752
LA	32	ridge	0.1	0.218824543	0.3383999852
LA	64	ridge	1.0	0.2186867259	0.3420258373
LA	32	ridge	1.0	0.2131979144	0.3396038998
LA	32	ridge	10.0	0.2120842027	0.3398671867
LA	16	ridge	0.1	0.2081852829	0.3413859391
LA	64	hgb	fixed	0.2052340344	0.3442894309
LA	16	ridge	10.0	0.2043770734	0.3425094727
LA	16	ridge	1.0	0.2027357862	0.3424149026
LA	32	hgb	fixed	0.1864542043	0.3447705953
LA	16	hgb	fixed	0.1613188803	0.346446043
