mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
L	64	hgb	fixed	0.2207616154	0.3547624757
L	32	hgb	fixed	0.2176938967	0.3552769852
L	16	hgb	fixed	0.2150775024	0.3552138922
L	16	ridge	10.0	0.2076465985	0.3557181097
L	16	ridge	1.0	0.2039858314	0.355945873
L	16	ridge	0.1	0.2038525693	0.3562748441
L	64	ridge	10.0	0.2016072548	0.3577074988
L	32	ridge	10.0	0.2009702427	0.3561303046
L	32	ridge	1.0	0.1964724919	0.3568034703
L	64	ridge	0.1	0.1960737823	0.3590516133
L	64	ridge	1.0	0.1960399324	0.3586565379
L	32	ridge	0.1	0.1957524162	0.3570889908
