Time,Model,acc_7,acc_5,acc_2,F1_score,Corr,MAE,Loss
2024/12/16 04:59:28 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
2026/07/13 09:22:09 - ,DLF,"(43.88, 0.0)","(51.02, 0.0)","(84.91, 0.0)","(84.83, 0.0)","(78.79, 0.0)","(72.78, 0.0)","(72.79, 0.0)"
2026/07/13 11:16:26 - ,DLF,"(45.25, 1.06)","(52.83, 1.14)","(84.69, 0.94)","(84.66, 0.94)","(79.23, 0.5)","(72.62, 1.64)","(72.63, 1.65)"
