checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
0	moddrop_seed1114	LAV	N0_shuffle_seed23071	0.1	153	0.5764374014	0.5864059946	0.5854091353	0.008971733887
0	moddrop_seed1114	LAV	N0_shuffle_seed23071	0.2	306	0.5568978819	0.5925369486	0.5854091353	0.02851125337
0	moddrop_seed1114	LAV	N0_shuffle_seed23071	0.3	459	0.5802730468	0.5876103161	0.5854091353	0.005136088502
0	moddrop_seed1114	LAV	N0_shuffle_seed23071	0.5	765	0.570730805	0.6000874656	0.5854091353	0.01467833033
0	moddrop_seed1114	LAV	N0_shuffle_seed23071	0.7	1071	0.5855766804	0.5850181967	0.5854091353	-0.0001675451363
0	moddrop_seed1114	LAV	N0_shuffle_seed23071	1	1530	0.5854091353	0	0.5854091353	1.110223025e-16
0	moddrop_seed1114	LAV	N0_shuffle_seed23072	0.1	153	0.6297425656	0.5804831986	0.5854091353	-0.04433343025
0	moddrop_seed1114	LAV	N0_shuffle_seed23072	0.2	306	0.6423016968	0.5711859949	0.5854091353	-0.05689256147
0	moddrop_seed1114	LAV	N0_shuffle_seed23072	0.3	459	0.6012070087	0.5786386182	0.5854091353	-0.01579787335
0	moddrop_seed1114	LAV	N0_shuffle_seed23072	0.5	765	0.6043565253	0.5664617453	0.5854091353	-0.01894738997
0	moddrop_seed1114	LAV	N0_shuffle_seed23072	0.7	1071	0.5993332499	0.5529195345	0.5854091353	-0.01392411461
0	moddrop_seed1114	LAV	N0_shuffle_seed23072	1	1530	0.5854091353	0	0.5854091353	1.110223025e-16
0	moddrop_seed1114	LAV	N0_shuffle_seed23073	0.1	153	0.5300587764	0.5915591752	0.5854091353	0.05535035892
0	moddrop_seed1114	LAV	N0_shuffle_seed23073	0.2	306	0.544666483	0.5955947984	0.5854091353	0.04074265235
0	moddrop_seed1114	LAV	N0_shuffle_seed23073	0.3	459	0.5829196984	0.5864760368	0.5854091353	0.002489436872
0	moddrop_seed1114	LAV	N0_shuffle_seed23073	0.5	765	0.5671547986	0.603663472	0.5854091353	0.01825433667
0	moddrop_seed1114	LAV	N0_shuffle_seed23073	0.7	1071	0.5774557864	0.6039669494	0.5854091353	0.007953348898
0	moddrop_seed1114	LAV	N0_shuffle_seed23073	1	1530	0.5854091353	0	0.5854091353	1.110223025e-16
0	moddrop_seed1114	LA	R0_global	0.1	153	0.4753640396	0.6013850981	0.5887829923	0.1134189526
0	moddrop_seed1114	LA	R0_global	0.2	306	0.529374992	0.6036349923	0.5887829923	0.05940800021
0	moddrop_seed1114	LA	R0_global	0.3	459	0.5341098218	0.612214351	0.5887829923	0.05467317043
0	moddrop_seed1114	LA	R0_global	0.5	765	0.5313423334	0.6462236511	0.5887829923	0.05744065881
0	moddrop_seed1114	LA	R0_global	0.7	1071	0.5702046368	0.6321324883	0.5887829923	0.01857835544
0	moddrop_seed1114	LA	R0_global	1	1530	0.5887829923	0	0.5887829923	0
