Epoch,GlobalOptimizerStep,JValid,LearningRate,TrainBatches,TrainSamples,SamplesPerSecond,EpochWallSeconds,PeakGPUMemoryBytes,GradientNormBeforeClip,ScalerScale,SampledLA,SampledLV,SampledL,full_loss,missing_loss,kd_loss,total_loss,L_reg,L_Acc2,L_Acc5,L_Acc7,weighted_reg,weighted_ordinal,supervised_gradient_norm,kd_gradient_norm,gradient_cosine,LAV_acc_7,LAV_acc_5,LAV_acc_2,LAV_F1_score,LAV_Corr,LAV_MAE,LAV_Loss,LAV_PredictionStd,LA_acc_7,LA_acc_5,LA_acc_2,LA_F1_score,LA_Corr,LA_MAE,LA_Loss,LA_PredictionStd,LV_acc_7,LV_acc_5,LV_acc_2,LV_F1_score,LV_Corr,LV_MAE,LV_Loss,LV_PredictionStd,L_acc_7,L_acc_5,L_acc_2,L_F1_score,L_Corr,L_MAE,L_Loss,L_PredictionStd
1,103,0.5426198542118073,0.0001,1021,16326,64.41552214666744,253.44822987006046,3066463744,,256.0,5452,5527,5347,4.180362432173487,3.000194137173465,0.03678973055085264,7.2173463137679885,0.03678973055085264,0.0,0.0,0.0,0.03678973055085264,0.0,2234.45006585437,366.9248324774612,-0.19060938546531878,0.5467664350614645,0.5622661678246926,0.8317107093184979,0.8343138824720594,0.7271184141538664,0.5426079034805298,0.5424896450633676,0.904650092124939,0.5489043292357029,0.5649385355424906,0.8414464534075105,0.8434819683716881,0.7226786700723257,0.5438034534454346,0.5436937146716647,0.8892319798469543,0.547300908605024,0.5628006413682523,0.8289290681502086,0.8317342593153498,0.7268460723513587,0.5415231585502625,0.5413965045386909,0.8910704255104065,0.5467664350614645,0.5628006413682523,0.8400556328233658,0.8422857867744031,0.7223352939148165,0.5425688028335571,0.5424500617206606,0.8764200806617737
2,206,0.5291628738244374,0.0001,1021,16326,64.45426675883537,253.29587733198423,4010314240,91.60685850266167,256.0,5544,5350,5432,2.8245945435663162,2.461159145330005,0.0586165907426968,5.344370280610476,0.0586165907426968,0.0,0.0,0.0,0.0586165907426968,0.0,53.351797770668036,0.8105418754558598,0.22365590352763112,0.5307322287546766,0.547300908605024,0.8463143254520167,0.8437253086485972,0.7440968524768273,0.5294657945632935,0.5294092486047337,0.8724619150161743,0.5280598610368786,0.5451630144307856,0.849095966620306,0.8461715112875223,0.7399869632079173,0.5326634049415588,0.5326027633287967,0.8569616079330444,0.5366114377338321,0.5531801175841796,0.8463143254520167,0.8440079785144865,0.7439941724380799,0.52497798204422,0.5249123917176173,0.8536286950111389,0.5371459112773918,0.5537145911277391,0.8477051460361613,0.8447537371980064,0.7398878694770684,0.5289384722709656,0.5288689360659347,0.8392205238342285
3,309,0.5338989595572154,0.0001,1021,16326,64.6608068090549,252.48679733101744,4010314240,63.00065124976535,256.0,5510,5343,5473,2.233912247168329,2.060087958582468,0.06780084263420245,4.361801045882013,0.06780084263420245,0.0,0.0,0.0,0.06780084263420245,0.0,40.81672735318447,2.0282780540245873,-0.2097730336212329,0.5419561731694281,0.5585248530197755,0.8567454798331016,0.8560617561584127,0.7366088536515017,0.534196674823761,0.5341751692641494,0.8847573399543762,0.5424906467129877,0.5585248530197755,0.8546592489568846,0.854146038720454,0.7340558469427599,0.5352122187614441,0.5351847468787788,0.8682287931442261,0.5414216996258685,0.5574559059326564,0.8595271210013908,0.8589269956750667,0.7360390701241002,0.5318933725357056,0.5318661780438871,0.8633796572685242,0.5387493319080705,0.5547835382148584,0.8532684283727399,0.8527503070335686,0.733419473180569,0.5336981415748596,0.5336645339798723,0.8476536870002747
4,412,0.5357949634393055,0.0001,1021,16326,64.68707098436641,252.38428280793596,4010314240,71.25743563246336,256.0,5557,5423,5346,1.8673463728822528,1.751538762674976,0.07940499384018221,3.6982901290161254,0.07940499384018221,0.0,0.0,0.0,0.07940499384018221,0.0,43.41511699447391,1.7110852282781552,0.2928526185762127,0.5296632816675575,0.5462319615179049,0.8414464534075105,0.842550425692763,0.7402751476199125,0.5371863842010498,0.5371353873330303,0.933452308177948,0.5285943345804383,0.5446285408872261,0.8463143254520167,0.8470619303387671,0.7384930335576038,0.5359481573104858,0.5358910751648438,0.9125303030014038,0.5323356493853554,0.5483698556921432,0.8428372739916551,0.8438732979178925,0.7402879003209808,0.5337945818901062,0.5337377537010063,0.90887850522995,0.5280598610368786,0.5440940673436665,0.8484005563282336,0.8489861027809814,0.7384139747591996,0.5334678888320923,0.5334048049572186,0.8889452219009399
5,515,0.5377470155556996,0.0001,1021,16326,63.959463903315694,255.255423213006,4010314240,69.7799032185444,256.0,5575,5314,5437,1.5965163599732575,1.5126569773728187,0.08873246879892444,3.197905806556388,0.08873246879892444,0.0,0.0,0.0,0.08873246879892444,0.0,58.04051029599584,2.806507151794182,0.33458242024776275,0.5227151256012827,0.5371459112773918,0.8532684283727399,0.853559186911521,0.7356534850814385,0.5392537117004395,0.5392012797359728,0.9306820631027222,0.5323356493853554,0.5462319615179049,0.8539638386648123,0.8540942832928782,0.7339537694592227,0.5375540852546692,0.5374940496224624,0.9068004488945007,0.530197755211117,0.5440940673436665,0.8560500695410292,0.856210343593073,0.7353865370656276,0.5359305739402771,0.5358713139326144,0.9066029787063599,0.5312667022982362,0.5451630144307856,0.8532684283727399,0.8534317995079149,0.7336271168762428,0.5352362990379333,0.5351693464650048,0.8849390745162964
6,618,0.5370933314164479,0.0001,1021,16326,64.05481006331088,254.87547322700266,4010314240,77.63027270920145,256.0,5375,5490,5461,1.4156014310975034,1.3450009793072326,0.09531904441139402,2.8559214566760387,0.09531904441139402,0.0,0.0,0.0,0.09531904441139402,0.0,60.69483742385363,2.0097132543322416,0.3573164704921815,0.5398182789951897,0.5547835382148584,0.8372739916550765,0.8396285217433826,0.7324277146813414,0.5382487773895264,0.5381604366832309,0.9073734879493713,0.5398182789951897,0.5542490646712988,0.8331015299026425,0.8355164325573156,0.7309008050107442,0.5370202660560608,0.5369239497897972,0.8836025595664978,0.5419561731694281,0.5569214323890967,0.8337969401947148,0.8362654209398693,0.7323936673775344,0.5357585549354553,0.5356634389131497,0.8831377029418945,0.5398182789951897,0.5547835382148584,0.8331015299026425,0.8355164325573156,0.7307181603056211,0.5350348353385925,0.5349322534524478,0.8611718416213989
7,721,0.5273892780145009,0.0001,1021,16326,64.40849136112764,253.47589563706424,4010314240,81.5759119571021,256.0,5412,5434,5480,1.281332249681116,1.2311006427745277,0.09937469845311123,2.6118075875647504,0.09937469845311123,0.0,0.0,0.0,0.09937469845311123,0.0,62.65270134931481,4.053731674993643,0.5998429892394085,0.5350080171031534,0.5505077498663816,0.844923504867872,0.845677875409706,0.7452449068894273,0.5279877781867981,0.5279024701852065,0.8738184571266174,0.5339390700160342,0.5489043292357029,0.8456189151599444,0.84627764828608,0.7441922018427095,0.5275912284851074,0.5274976593816382,0.849486231803894,0.5312667022982362,0.5467664350614645,0.8421418636995828,0.842719370270897,0.7449852099170364,0.5262544751167297,0.526162000038685,0.8489500880241394,0.530197755211117,0.5446285408872261,0.844923504867872,0.8455539378870194,0.7438363016144127,0.5265266299247742,0.526426481640237,0.8264743685722351
8,824,0.5355598727862041,0.0001,1021,16326,63.7062108324668,256.2701471579494,4010314240,66.32458893542602,256.0,5404,5544,5378,1.182412889690287,1.1343230638693176,0.10374904338117182,2.42048499236261,0.10374904338117182,0.0,0.0,0.0,0.10374904338117182,0.0,37.05065249730732,3.8549950345502757,-0.16767288872272276,0.5307322287546766,0.547300908605024,0.847009735744089,0.8480182546103379,0.7414501868529638,0.5376236438751221,0.5375986629062228,0.9193993806838989,0.5280598610368786,0.5440940673436665,0.847009735744089,0.8479026276416443,0.7405843203826418,0.5349549651145935,0.5349227791158562,0.8936822414398193,0.532870122928915,0.5489043292357029,0.8456189151599444,0.8466938355429535,0.7412342418143983,0.5335485339164734,0.5335138801835541,0.8925864100456238,0.5318011758417959,0.5478353821485836,0.847009735744089,0.8478437131281213,0.7402131701560623,0.531984806060791,0.5319435423255986,0.8689619898796082
9,927,0.529153476158778,0.0001,1021,16326,64.29045426880535,253.941276511061,4010314240,74.95552516494934,256.0,5438,5411,5477,1.0964690470788903,1.0506295361259659,0.105649746036801,2.2527483305314613,0.105649746036801,0.0,0.0,0.0,0.105649746036801,0.0,47.620353249555635,2.162522198601709,0.23667162681296758,0.5318011758417959,0.5483698556921432,0.8518776077885952,0.8517764116875294,0.7452265820375693,0.5305256843566895,0.5304731731740837,0.905380129814148,0.5285943345804383,0.5451630144307856,0.8497913769123783,0.8495844150732297,0.7443783763029688,0.5283830165863037,0.5283216637933356,0.8788180351257324,0.5280598610368786,0.5440940673436665,0.8518776077885952,0.8516388449109511,0.7448570242775775,0.5280029773712158,0.5279418354869908,0.8794329762458801,0.5253874933190807,0.5403527525387494,0.8511821974965229,0.8509072846424414,0.7439271449834269,0.5269578099250793,0.5268889120501331,0.8561140298843384
10,1030,0.5284123818079631,0.0001,1021,16326,64.17186955334516,254.41054061008617,4010314240,82.37433893954206,256.0,5388,5482,5456,0.9992269755986015,0.953396382954165,0.10833721576362527,2.060960577587423,0.10833721576362527,0.0,0.0,0.0,0.10833721576362527,0.0,26.53240825796579,1.8095532164319648,0.4845480135765362,0.5334045964724746,0.5489043292357029,0.8539638386648123,0.8548716796784771,0.7409376619485551,0.5287408232688904,0.5286492651853806,0.8426687717437744,0.5237840726884019,0.5398182789951897,0.8484005563282336,0.8490474203890335,0.7403113126183878,0.5283480286598206,0.5282514795788333,0.8218268752098083,0.5269909139497595,0.5430251202565473,0.8553546592489569,0.8560867487274936,0.7405266242713681,0.5279145240783691,0.5278171616741735,0.8204535841941833,0.5243185462319615,0.5387493319080705,0.8497913769123783,0.850371551379321,0.739861268055939,0.5279892683029175,0.5278873418131446,0.8019729852676392
