checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
1	cfcompat_seed1111	LAV	N0_shuffle_seed23072	0.1	130	0.6472256048	0.5512821934	0.5608987266	-0.08632687818
1	cfcompat_seed1111	LAV	N0_shuffle_seed23072	0.2	260	0.6030998704	0.5503179191	0.5608987266	-0.04220114385
1	cfcompat_seed1111	LAV	N0_shuffle_seed23072	0.3	390	0.5826386031	0.5515508194	0.5608987266	-0.02173987652
1	cfcompat_seed1111	LAV	N0_shuffle_seed23072	0.5	649	0.5639461768	0.5578465735	0.5608987266	-0.003047450179
1	cfcompat_seed1111	LAV	N0_shuffle_seed23072	0.7	908	0.5580268343	0.5676022695	0.5608987266	0.002871892284
1	cfcompat_seed1111	LAV	N0_shuffle_seed23072	1	1297	0.5608987266	0	0.5608987266	0
1	cfcompat_seed1111	LAV	N0_shuffle_seed23073	0.1	130	0.5570987057	0.5613220365	0.5608987266	0.003800020913
1	cfcompat_seed1111	LAV	N0_shuffle_seed23073	0.2	260	0.5653817104	0.5597747383	0.5608987266	-0.004482983865
1	cfcompat_seed1111	LAV	N0_shuffle_seed23073	0.3	390	0.5571610531	0.562505885	0.5608987266	0.003737673514
1	cfcompat_seed1111	LAV	N0_shuffle_seed23073	0.5	649	0.5555868926	0.5662187579	0.5608987266	0.005311834003
1	cfcompat_seed1111	LAV	N0_shuffle_seed23073	0.7	908	0.5574317649	0.5689912746	0.5608987266	0.003466961646
1	cfcompat_seed1111	LAV	N0_shuffle_seed23073	1	1297	0.5608987266	0	0.5608987266	0
1	cfcompat_seed1111	LA	R0_global	0.1	130	0.5832429509	0.5604164401	0.562704371	-0.02053857988
1	cfcompat_seed1111	LA	R0_global	0.2	260	0.5606078973	0.5632300057	0.562704371	0.002096473766
1	cfcompat_seed1111	LA	R0_global	0.3	390	0.5603427192	0.5637198553	0.562704371	0.002361651822
1	cfcompat_seed1111	LA	R0_global	0.5	649	0.5877290912	0.5376410324	0.562704371	-0.0250247202
1	cfcompat_seed1111	LA	R0_global	0.7	908	0.5636432346	0.5605128848	0.562704371	-0.0009388635933
1	cfcompat_seed1111	LA	R0_global	1	1297	0.562704371	0	0.562704371	0
1	cfcompat_seed1111	LA	R0_mode	0.1	130	0.5832429509	0.5604164401	0.562704371	-0.02053857988
1	cfcompat_seed1111	LA	R0_mode	0.2	260	0.5606078973	0.5632300057	0.562704371	0.002096473766
1	cfcompat_seed1111	LA	R0_mode	0.3	390	0.5603427192	0.5637198553	0.562704371	0.002361651822
1	cfcompat_seed1111	LA	R0_mode	0.5	649	0.5877290912	0.5376410324	0.562704371	-0.0250247202
1	cfcompat_seed1111	LA	R0_mode	0.7	908	0.5636432346	0.5605128848	0.562704371	-0.0009388635933
1	cfcompat_seed1111	LA	R0_mode	1	1297	0.562704371	0	0.562704371	0
1	cfcompat_seed1111	LA	R1	0.1	130	0.3952847375	0.5813543731	0.562704371	0.1674196336
1	cfcompat_seed1111	LA	R1	0.2	260	0.4382709144	0.5939027305	0.562704371	0.1244334567
1	cfcompat_seed1111	LA	R1	0.3	390	0.457731746	0.6078414424	0.562704371	0.104972625
1	cfcompat_seed1111	LA	R1	0.5	649	0.4784067773	0.6471320537	0.562704371	0.08429759379
1	cfcompat_seed1111	LA	R1	0.7	908	0.5161341286	0.671408176	0.562704371	0.04657024242
1	cfcompat_seed1111	LA	R1	1	1297	0.562704371	0	0.562704371	0
1	cfcompat_seed1111	LA	R2	0.1	130	0.3379532992	0.5877409086	0.562704371	0.2247510718
1	cfcompat_seed1111	LA	R2	0.2	260	0.3995933955	0.6036000833	0.562704371	0.1631109755
1	cfcompat_seed1111	LA	R2	0.3	390	0.4346978379	0.617745769	0.562704371	0.1280065331
1	cfcompat_seed1111	LA	R2	0.5	649	0.488586144	0.6369369781	0.562704371	0.07411822706
1	cfcompat_seed1111	LA	R2	0.7	908	0.5156359246	0.6725710788	0.562704371	0.0470684464
1	cfcompat_seed1111	LA	R2	1	1297	0.562704371	0	0.562704371	1.110223025e-16
1	cfcompat_seed1111	LA	N3_output_only	0.1	130	0.3952847375	0.5813543731	0.562704371	0.1674196336
1	cfcompat_seed1111	LA	N3_output_only	0.2	260	0.4382709144	0.5939027305	0.562704371	0.1244334567
1	cfcompat_seed1111	LA	N3_output_only	0.3	390	0.457731746	0.6078414424	0.562704371	0.104972625
1	cfcompat_seed1111	LA	N3_output_only	0.5	649	0.4784067773	0.6471320537	0.562704371	0.08429759379
1	cfcompat_seed1111	LA	N3_output_only	0.7	908	0.5161341286	0.671408176	0.562704371	0.04657024242
1	cfcompat_seed1111	LA	N3_output_only	1	1297	0.562704371	0	0.562704371	0
1	cfcompat_seed1111	LA	N2_length_mask_only	0.1	130	0.5080818751	0.5687891392	0.562704371	0.05462249591
1	cfcompat_seed1111	LA	N2_length_mask_only	0.2	260	0.5678629765	0.5614109888	0.562704371	-0.005158605412
1	cfcompat_seed1111	LA	N2_length_mask_only	0.3	390	0.5525144274	0.5670859345	0.562704371	0.01018994368
1	cfcompat_seed1111	LA	N2_length_mask_only	0.5	649	0.547831307	0.5776003873	0.562704371	0.01487306404
1	cfcompat_seed1111	LA	N2_length_mask_only	0.7	908	0.5566539476	0.5768272102	0.562704371	0.006050423399
1	cfcompat_seed1111	LA	N2_length_mask_only	1	1297	0.562704371	0	0.562704371	0
1	cfcompat_seed1111	LA	N5_label_bin_prior	0.1	130	0.4232736863	0.5782364953	0.562704371	0.1394306847
1	cfcompat_seed1111	LA	N5_label_bin_prior	0.2	260	0.4810341959	0.583180982	0.562704371	0.08167017513
1	cfcompat_seed1111	LA	N5_label_bin_prior	0.3	390	0.4687556711	0.6031012762	0.562704371	0.09394869998
1	cfcompat_seed1111	LA	N5_label_bin_prior	0.5	649	0.4708606324	0.6546898438	0.562704371	0.09184373862
1	cfcompat_seed1111	LA	N5_label_bin_prior	0.7	908	0.5160504292	0.6716035463	0.562704371	0.04665394181
1	cfcompat_seed1111	LA	N5_label_bin_prior	1	1297	0.562704371	0	0.562704371	0
1	cfcompat_seed1111	LA	N1_matched_gaussian	0.1	130	0.5914085857	0.559506815	0.562704371	-0.0287042147
1	cfcompat_seed1111	LA	N1_matched_gaussian	0.2	260	0.5915166938	0.5554804521	0.562704371	-0.02881232277
1	cfcompat_seed1111	LA	N1_matched_gaussian	0.3	390	0.5869387479	0.5522838562	0.562704371	-0.02423437686
1	cfcompat_seed1111	LA	N1_matched_gaussian	0.5	649	0.5495853047	0.5758436828	0.562704371	0.01311906632
1	cfcompat_seed1111	LA	N1_matched_gaussian	0.7	908	0.5599213719	0.5692004204	0.562704371	0.002782999138
1	cfcompat_seed1111	LA	N1_matched_gaussian	1	1297	0.562704371	0	0.562704371	0
1	cfcompat_seed1111	LA	N0_shuffle_seed23071	0.1	130	0.6005399693	0.5584896086	0.562704371	-0.03783559831
1	cfcompat_seed1111	LA	N0_shuffle_seed23071	0.2	260	0.5406586728	0.5682317399	0.562704371	0.02204569822
1	cfcompat_seed1111	LA	N0_shuffle_seed23071	0.3	390	0.558179441	0.5646500411	0.562704371	0.004524930033
1	cfcompat_seed1111	LA	N0_shuffle_seed23071	0.5	649	0.557017964	0.5683995534	0.562704371	0.005686407076
1	cfcompat_seed1111	LA	N0_shuffle_seed23071	0.7	908	0.5594933603	0.5701994808	0.562704371	0.003211010699
1	cfcompat_seed1111	LA	N0_shuffle_seed23071	1	1297	0.562704371	0	0.562704371	0
1	cfcompat_seed1111	LA	N0_shuffle_seed23072	0.1	130	0.5852805254	0.560189461	0.562704371	-0.02257615435
1	cfcompat_seed1111	LA	N0_shuffle_seed23072	0.2	260	0.5996420209	0.5534432438	0.562704371	-0.0369376499
1	cfcompat_seed1111	LA	N0_shuffle_seed23072	0.3	390	0.5894153911	0.5512189269	0.562704371	-0.02671102005
1	cfcompat_seed1111	LA	N0_shuffle_seed23072	0.5	649	0.564448546	0.5609575045	0.562704371	-0.00174417496
1	cfcompat_seed1111	LA	N0_shuffle_seed23072	0.7	908	0.5630177979	0.5619727732	0.562704371	-0.0003134268261
1	cfcompat_seed1111	LA	N0_shuffle_seed23072	1	1297	0.562704371	0	0.562704371	0
