checkpoint_fold	expert_id	mode	model	Error_Spearman	Error_Pearson	Risk_MAE	Risk_RMSE	bad20_AUROC	bad20_AUPRC	bad20_Brier	bad20_ECE	bad10_AUROC	fixed_bad_AUROC	fixed_bad_AUPRC	confident_wrong_AUROC	confident_wrong_AUPRC	confident_wrong_recall_at_precision_0p8
1	cfcompat_seed1111	LV	R0_global	0	0	0.3803923865	0.4965553786	0.5	0.1935235158	0.1561141095	0.006476484194	0.5	0.5	0.1619121049	NA	NA	NA
1	cfcompat_seed1111	LV	R0_mode	0	0	0.380287623	0.496541565	0.5	0.1935235158	0.1561141095	0.006476484194	0.5	0.5	0.1619121049	NA	NA	NA
1	cfcompat_seed1111	LV	R1	0.2016856977	0.1836760894	0.3592770621	0.526187554	0.5812276706	0.242071902	0.1542435313	0.009701060243	0.5802798392	0.5763197091	0.2103020467	0.8074606116774792	0.09644796379284376	0.0
1	cfcompat_seed1111	LV	R2	0.1942561334	0.172096939	0.3649650566	0.5275217793	0.5798526734	0.2428119764	0.1546928014	0.01963049718	0.5810071963	0.5860340824	0.2132956098	0.8695551436515292	0.24712311674921883	0.057692307692307696
1	cfcompat_seed1111	LV	N3_output_only	0.2016856977	0.1836760894	0.3592770621	0.526187554	0.5812276706	0.242071902	0.1542435313	0.009701060243	0.5802798392	0.5763197091	0.2103020467	0.8074606116774792	0.09644796379284376	0.0
1	cfcompat_seed1111	LV	N2_length_mask_only	0.03793081055	0.03497812125	0.3673896025	0.5402284308	0.5271457192	0.206747258	0.2506811327	0.3083838216	0.5267716591	0.5209532571	0.1718799631	0.6022397281433426	0.057085088877287526	0.0
1	cfcompat_seed1111	LV	N5_label_bin_prior	0.1754601189	0.1216380229	0.3641511163	0.5353041791	0.5444150739	0.2267460676	0.2495669926	0.305848609	0.5451101928	0.5459324484	0.1893646569	0.7422150139017609	0.11347542358585	0.019230769230769232
1	cfcompat_seed1111	LV	N1_matched_gaussian	-0.004318663183	-0.001956198494	0.375001053	0.5451089608	0.5018625308	0.202527919	0.251174977	0.2904149445	0.4427882723	0.492863714	0.1673747489	0.4702038924930491	0.04523153254301558	0.0
1	cfcompat_seed1111	LV	N0_shuffle_seed23071	0.001199192177	-0.005411828682	0.372257119	0.5463104807	0.5016301905	0.2009681379	0.2479308096	0.2889028917	0.4872730084	0.4917904236	0.1626579359	0.4576150756873648	0.03466001259480042	0.0
1	cfcompat_seed1111	LV	N0_shuffle_seed23072	-0.04676836565	-0.03044833321	0.3730836259	0.5455184739	0.4924813176	0.1937847709	0.2533906709	0.2939682527	0.480688143	0.4914969116	0.1612475774	0.42550200803212856	0.03313221657706181	0.0
1	cfcompat_seed1111	LV	N0_shuffle_seed23073	0.01916610063	0.02130474832	0.3725929275	0.5448861231	0.5229559772	0.201438803	0.249745143	0.2936430418	0.5156715579	0.5056774872	0.1629342809	0.5572907012666048	0.04637134794954213	0.0
1	cfcompat_seed1111	L	R0_global	0	0	0.3820540786	0.4993185559	0.5	0.1935235158	0.1561141095	0.006476484194	0.5	0.5	0.1642251349	NA	NA	NA
1	cfcompat_seed1111	L	R0_mode	0	0	0.3821152912	0.4993259889	0.5	0.1935235158	0.1561141095	0.006476484194	0.5	0.5	0.1642251349	NA	NA	NA
1	cfcompat_seed1111	L	R1	0.1944204371	0.1833584368	0.3629575252	0.5307512235	0.579041387	0.2388288952	0.1546700245	0.01493561333	0.5399721108	0.5682180413	0.1939484507	0.8601517530088959	0.13489186345675774	0.0
1	cfcompat_seed1111	L	R2	0.2192436913	0.200921391	0.3605133847	0.52786179	0.5743507804	0.2504134862	0.1551161561	0.01444913169	0.5684039907	0.5823501897	0.2244362268	0.8772893772893772	0.1802587265642409	0.0
1	cfcompat_seed1111	L	N3_output_only	0.1944204371	0.1833584368	0.3629575252	0.5307512235	0.579041387	0.2388288952	0.1546700245	0.01493561333	0.5399721108	0.5682180413	0.1939484507	0.8601517530088959	0.13489186345675774	0.0
1	cfcompat_seed1111	L	N2_length_mask_only	0.03790735472	0.03710507124	0.370609438	0.5450116767	0.5281836326	0.2072201274	0.2506956299	0.3084050285	0.5291183278	0.536387142	0.1794774124	0.4835410125588697	0.03465611451435141	0.0
1	cfcompat_seed1111	L	N5_label_bin_prior	0.1725659309	0.1222273601	0.3672448157	0.5398571452	0.5419278907	0.2247434521	0.2497563695	0.3059795111	0.5482166731	0.5405449301	0.1848121707	0.7789279173207745	0.08409118947011782	0.0
1	cfcompat_seed1111	L	N1_matched_gaussian	-0.03408916294	-0.02041788563	0.3764201711	0.5495835379	0.5096325977	0.1948964545	0.2508978535	0.2921202016	0.5005894107	0.5047208219	0.1656661587	0.4766974097331241	0.03650383857542884	0.0
1	cfcompat_seed1111	L	N0_shuffle_seed23071	0.02292712322	0.02801985474	0.3736332429	0.5480874444	0.4862195577	0.1919322881	0.2498782038	0.2921881269	0.5080361122	0.4839751919	0.1599229932	0.5611754317111459	0.04378061418657361	0.0
1	cfcompat_seed1111	L	N0_shuffle_seed23072	0.0002010107368	-0.0183159428	0.3735682005	0.5490119215	0.4847302949	0.1992524284	0.2517797725	0.2949610186	0.463291212	0.4842783639	0.1672985153	0.41825287807430667	0.03025134854650685	0.0
1	cfcompat_seed1111	L	N0_shuffle_seed23073	0.03437501949	0.04758382632	0.3739846441	0.5471074124	0.5159057841	0.2184951392	0.2460046263	0.2929282364	0.5605942985	0.5178871507	0.1860966026	0.533899136577708	0.03981571540003005	0.0
