checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
0	cfcompat_seed1114	LAV	R0_global	0.1	153	0.4513540096	0.5869186937	0.5733622253	0.1220082157
0	cfcompat_seed1114	LAV	R0_global	0.2	306	0.5284070177	0.5846010272	0.5733622253	0.04495520756
0	cfcompat_seed1114	LAV	R0_global	0.3	459	0.5352977794	0.5896755593	0.5733622253	0.03806444594
0	cfcompat_seed1114	LAV	R0_global	0.5	765	0.5276578393	0.6190666113	0.5733622253	0.04570438597
0	cfcompat_seed1114	LAV	R0_global	0.7	1071	0.5556962379	0.6145828626	0.5733622253	0.01766598741
0	cfcompat_seed1114	LAV	R0_global	1	1530	0.5733622253	0	0.5733622253	0
0	cfcompat_seed1114	LAV	R0_mode	0.1	153	0.4513540096	0.5869186937	0.5733622253	0.1220082157
0	cfcompat_seed1114	LAV	R0_mode	0.2	306	0.5284070177	0.5846010272	0.5733622253	0.04495520756
0	cfcompat_seed1114	LAV	R0_mode	0.3	459	0.5352977794	0.5896755593	0.5733622253	0.03806444594
0	cfcompat_seed1114	LAV	R0_mode	0.5	765	0.5276578393	0.6190666113	0.5733622253	0.04570438597
0	cfcompat_seed1114	LAV	R0_mode	0.7	1071	0.5556962379	0.6145828626	0.5733622253	0.01766598741
0	cfcompat_seed1114	LAV	R0_mode	1	1530	0.5733622253	0	0.5733622253	0
0	cfcompat_seed1114	LAV	R1	0.1	153	0.3104032405	0.6025798903	0.5733622253	0.2629589848
0	cfcompat_seed1114	LAV	R1	0.2	306	0.3979287475	0.6172205947	0.5733622253	0.1754334778
0	cfcompat_seed1114	LAV	R1	0.3	459	0.4140588773	0.6416350887	0.5733622253	0.159303348
0	cfcompat_seed1114	LAV	R1	0.5	765	0.4841924255	0.6625320251	0.5733622253	0.08916979984
0	cfcompat_seed1114	LAV	R1	0.7	1071	0.5111271549	0.7185773896	0.5733622253	0.06223507039
0	cfcompat_seed1114	LAV	R1	1	1530	0.5733622253	0	0.5733622253	0
0	cfcompat_seed1114	LAV	R2	0.1	153	0.3173325794	0.6018099637	0.5733622253	0.2560296459
0	cfcompat_seed1114	LAV	R2	0.2	306	0.3881654454	0.6196614203	0.5733622253	0.1851967799
0	cfcompat_seed1114	LAV	R2	0.3	459	0.4269843389	0.6360956052	0.5733622253	0.1463778864
0	cfcompat_seed1114	LAV	R2	0.5	765	0.4884508724	0.6582735782	0.5733622253	0.08491135291
0	cfcompat_seed1114	LAV	R2	0.7	1071	0.5196842481	0.6986108387	0.5733622253	0.05367797715
0	cfcompat_seed1114	LAV	R2	1	1530	0.5733622253	0	0.5733622253	0
0	cfcompat_seed1114	LAV	N3_output_only	0.1	153	0.3104032405	0.6025798903	0.5733622253	0.2629589848
0	cfcompat_seed1114	LAV	N3_output_only	0.2	306	0.3979287475	0.6172205947	0.5733622253	0.1754334778
0	cfcompat_seed1114	LAV	N3_output_only	0.3	459	0.4140588773	0.6416350887	0.5733622253	0.159303348
0	cfcompat_seed1114	LAV	N3_output_only	0.5	765	0.4841924255	0.6625320251	0.5733622253	0.08916979984
0	cfcompat_seed1114	LAV	N3_output_only	0.7	1071	0.5111271549	0.7185773896	0.5733622253	0.06223507039
0	cfcompat_seed1114	LAV	N3_output_only	1	1530	0.5733622253	0	0.5733622253	0
0	cfcompat_seed1114	LAV	N2_length_mask_only	0.1	153	0.5792593098	0.5727069937	0.5733622253	-0.005897084496
0	cfcompat_seed1114	LAV	N2_length_mask_only	0.2	306	0.6105318859	0.5640698101	0.5733622253	-0.03716966065
