checkpoint_fold	expert_id	mode	quantile	empirical_coverage	pinball_loss	mean_predicted_quantile	mean_q90_minus_q50_interval_width
0	cfcompat_seed1114	LAV	0.5	0.4921568627	0.1817374758	0.4448349713	0.7628456984
0	cfcompat_seed1114	LAV	0.8	0.8058823529	0.1593001169	0.8978020911	0.7628456984
0	cfcompat_seed1114	LAV	0.9	0.8888888889	0.1133758268	1.20768067	0.7628456984
0	cfcompat_seed1114	LA	0.5	0.4947712418	0.1813067623	0.4404719945	0.7633174302
0	cfcompat_seed1114	LA	0.8	0.8032679739	0.1590853541	0.9056731261	0.7633174302
0	cfcompat_seed1114	LA	0.9	0.8908496732	0.1119988879	1.203789425	0.7633174302
0	cfcompat_seed1114	LV	0.5	0.4875816993	0.180696017	0.4420325973	0.7706097221
0	cfcompat_seed1114	LV	0.8	0.8058823529	0.1598109958	0.9014145285	0.7706097221
0	cfcompat_seed1114	LV	0.9	0.8941176471	0.1134266979	1.212642319	0.7706097221
0	cfcompat_seed1114	L	0.5	0.4862745098	0.1806105571	0.4429335332	0.7703071219
0	cfcompat_seed1114	L	0.8	0.7993464052	0.1572024617	0.9023049121	0.7703071219
0	cfcompat_seed1114	L	0.9	0.9013071895	0.110221005	1.213240655	0.7703071219
