SplitSeed	Probe	Mode	J	acc_7	acc_5	acc_2	F1_score	Corr	MAE	PredictionStd	PredictionMin	PredictionMax	ProjectEvaluatorRoundingParityMax
2101	P0	LAV	0.2575473735729853	0.7740443896424167	0.8027127003699137	0.9626984126984127	0.962640343253771	0.9454470221435566	0.2589869201183319	1.0737481913219025	-2.8430073203989967	2.696146760659477	4.70221435565632e-05
2101	P0	LA	0.2575473735729853	0.782983970406905	0.8085696670776819	0.9650793650793651	0.9650089822468223	0.9452536699081379	0.25650835037231445	1.0673785289733844	-2.8292786935626917	2.6045555567426386	4.6330091862167855e-05
2101	P0	LV	0.2575473735729853	0.778976572133169	0.8064118372379778	0.9611111111111111	0.9610768774720753	0.9458601594006633	0.25668010115623474	1.0673419139359803	-2.8132881510256635	2.596411454577394	3.9840599336704585e-05
2101	P0	L	0.2575473735729853	0.781750924784217	0.8076448828606658	0.9646825396825397	0.964623529190148	0.9455630958558924	0.25513502955436707	1.0703091049362228	-2.7870601995001976	2.5738083430539858	4.9075215783012105e-05
2101	P0	MissingMacro	0.2575473735729853	0.7812371557747637	0.8075421290587751	0.9636243386243386	0.9635697963030152	0.9455589750548978	0.25610782702763873	1.068343182615196	-2.809875681362851	2.5915917847913397	4.508196899396152e-05
2101	P1	LAV	0.2615110675493876	0.7703452527743526	0.7990135635018496	0.9623015873015873	0.9622974899069686	0.9446322605327013	0.26369839906692505	1.0930745380813085	-2.796380554655117	2.708586214325936	4.5252774352633196e-05
2101	P1	LA	0.2615110675493876	0.7771270036991369	0.8036374845869297	0.9638888888888889	0.9638691255860287	0.9448838070386499	0.25952064990997314	1.0855778263733786	-2.8440753379926407	2.6588091746897144	3.748458692975909e-05
2101	P1	LV	0.2615110675493876	0.7762022194821209	0.8036374845869297	0.959920634920635	0.9599336111597963	0.9450621089527926	0.2603543996810913	1.087084375200814	-2.8695527793313187	2.5730573483985317	4.5600318908711746e-05
2101	P1	L	0.2615110675493876	0.7758939580764488	0.8030209617755857	0.9607142857142857	0.9607185405437908	0.9451905084568579	0.2580961585044861	1.0890970900125012	-2.8196699424346567	2.5903383445408763	2.0961775585637277e-05
2101	P1	MissingMacro	0.2615110675493876	0.7764077270859021	0.8034319769831484	0.9615079365079365	0.9615070924298719	0.9450454748161002	0.25932373603185016	1.0872530971955647	-2.8444326865862055	2.607401622543041	3.468222714136937e-05
2101	P2	LAV	0.2827934225400289	0.7515413070283601	0.782983970406905	0.9519841269841269	0.9519996727755976	0.9352112248724297	0.2880447804927826	1.0892133080477842	-3.0843234328340237	2.9184661826047806	4.4780492782614534e-05
2101	P2	LA	0.2827934225400289	0.7601726263871763	0.7894574599260172	0.9563492063492064	0.9563301282051283	0.9371404292577609	0.27941444516181946	1.0756437328957071	-3.1935318098802314	2.769502337480532	4.920634920635436e-05
2101	P2	LV	0.2827934225400289	0.7638717632552404	0.7940813810110974	0.9527777777777777	0.952803168722597	0.9369271245982767	0.2811411917209625	1.0692861168007728	-3.0350086899300903	2.7670227695735745	4.1191720962507894e-05
2101	P2	L	0.2827934225400289	0.7669543773119606	0.7953144266337855	0.9591269841269842	0.9591314108687925	0.9393398233002508	0.2720705568790436	1.0788059651106923	-3.0446065397134516	2.762214854873662	4.562268803942615e-05
