mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LA	64	hgb	fixed	0.1788689671	0.3511352129
LA	16	ridge	1.0	0.1677896297	0.354173636
LA	16	ridge	10.0	0.1669154624	0.3542275786
LA	16	ridge	0.1	0.166732624	0.3540589712
LA	32	hgb	fixed	0.1637321717	0.3515411239
LA	32	ridge	1.0	0.1563239429	0.3561322609
LA	32	ridge	0.1	0.1556624647	0.3560633111
LA	32	ridge	10.0	0.1555716138	0.3560598076
LA	16	hgb	fixed	0.1523195625	0.3516935249
LA	64	ridge	0.1	0.1356739526	0.3598759919
LA	64	ridge	1.0	0.133693014	0.3600440784
LA	64	ridge	10.0	0.1315818492	0.3601896594
