mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LAV	32	ridge	10.0	0.193838737	0.3533116783
LAV	16	ridge	10.0	0.1902470716	0.3538044587
LAV	64	ridge	10.0	0.1899661522	0.3547494182
LAV	32	ridge	1.0	0.1883542889	0.3541640714
LAV	32	ridge	0.1	0.184898218	0.3548931836
LAV	64	ridge	1.0	0.184895523	0.3555423616
LAV	16	ridge	1.0	0.184804737	0.3546213538
LAV	64	ridge	0.1	0.1822848294	0.3564911841
LAV	16	ridge	0.1	0.1822671549	0.3553565384
LAV	64	hgb	fixed	0.1722575297	0.3577414124
LAV	16	hgb	fixed	0.1658827767	0.3586063548
LAV	32	hgb	fixed	0.1568560066	0.3582967459
