algorithm	parameter	inner_valid_AUROC	inner_valid_AUPRC
hgb	fixed	0.8751594134	0.1775810555
logistic	0.1	0.8697393592	0.2225775507
logistic	1.0	0.8640403316	0.1981319795
logistic	10.0	0.8604933843	0.1938605871
