direction	role	mode	expert_id	method	seed	samples	spearman_consistency_error	spearman_consistency_regret	auroc_low_consistency_is_exact_best	auroc_consistency_high_error_top_vs_bottom20	consistency_mean	consistency_std	consistency_q05	consistency_q50	consistency_q95	inner_train_consistency_q99_threshold	consistency_outlier_rate_above_inner_q99	error_bottom20_consistency_mean	error_top20_consistency_mean
B	inner_valid	LV	moddrop_seed1111	moddrop	1111	861	0.09428000265	0.1185717249	0.5227098572	0.5778007952	0.01248029906	0.009746942331	0.002328500152	0.01031151414	0.03398990631	0.056775527	0.004645760743	0.01101198788	0.01347487139
B	inner_valid	LV	moddrop_seed1114	moddrop	1114	861	0.0695653163	0.04319099361	0.5218756021	0.5646028935	0.01949089941	0.01484999041	0.002979278564	0.01633839309	0.04492723942	0.08549375534	0.008130081301	0.01711236217	0.01999745446
B	inner_valid	LV	cfcompat_seed1111	cfcompat	1111	861	0.09090019479	0.1321675199	0.5472665257	0.5737244813	0.01326857816	0.01000307935	0.002878442407	0.01077898964	0.03122368455	0.05735185742	0.005807200929	0.01211079219	0.01446731628
B	inner_valid	LV	cfcompat_seed1114	cfcompat	1114	861	0.08291098034	0.02239401569	0.4770389447	0.5543452838	0.03487164369	0.02905252519	0.006847679615	0.0268689692	0.08736169338	0.195405345	0.001161440186	0.03007514169	0.03899098499
B	inner_valid	L	uniform_kd_seed1111	uniform_kd	1111	861	0.06648400634	0.1099318878	0.5557293924	0.5776838518	0.008713406916	0.009103630691	0.0004975274205	0.006582856178	0.0258513689	0.05306366444	0.004645760743	0.007470769495	0.009766131252
B	inner_valid	L	moddrop_seed1111	moddrop	1111	861	0.1172076898	0.07707811799	0.5085959885	0.607738314	0.009456935171	0.01099732533	0.0004924535751	0.006276756525	0.03002744913	0.06302125931	0.003484320557	0.008160578787	0.01231282993
B	inner_valid	L	moddrop_seed1114	moddrop	1114	861	0.03374949779	0.006504122696	0.4858999083	0.5563500284	0.01191335636	0.01676002941	0.0006475746632	0.00739812851	0.03537964821	0.121017561	0.005807200929	0.009648765927	0.0123567662
B	inner_valid	L	cfcompat_seed1111	cfcompat	1111	861	0.07038669698	0.08232983975	0.467258443	0.5710849009	0.008310838244	0.00848184048	0.0005242824554	0.0062058568	0.02145934105	0.05277407646	0.002322880372	0.006698569854	0.008071122099
B	inner_valid	L	cfcompat_seed1114	cfcompat	1114	861	0.04505042423	-0.001434196661	0.4917368715	0.5465936049	0.02365003078	0.03809260587	0.001080894843	0.01214587688	0.08420163393	0.2511697721	0.008130081301	0.01758848262	0.02731062056
B	outer_evaluation	LAV	uniform_kd_seed1111	uniform_kd	1111	8532	0.0630502684	0.02840282633	0.4882164637	0.562461713	0.01457439866	0.01042651243	0.002790856361	0.01214245707	0.03404951096	0.04956442595	0.009493670886	0.01363260067	0.01592475214
B	outer_evaluation	LAV	moddrop_seed1111	moddrop	1111	8532	0.0875360478	0.05830343612	0.487972951	0.5712018708	0.0118790166	0.008929147551	0.002321720123	0.009855546057	0.02792923003	0.05346207142	0.003984997656	0.01100079015	0.01327228079
B	outer_evaluation	LAV	moddrop_seed1114	moddrop	1114	8532	0.04735454039	0.02323245486	0.4967786916	0.5340350512	0.02586225219	0.01846154842	0.005368107557	0.02183415741	0.0588794522	0.08311771393	0.01699484294	0.02464964247	0.02662600111
B	outer_evaluation	LAV	cfcompat_seed1111	cfcompat	1111	8532	0.0821238982	0.05386327445	0.5136482139	0.5701980439	0.007762249077	0.006091779942	0.001455530524	0.006343945861	0.01861450225	0.05226632833	0.0008204406939	0.007309355244	0.008789968375
B	outer_evaluation	LAV	cfcompat_seed1114	cfcompat	1114	8532	0.04614269156	0.03325621996	0.5029342069	0.5384934154	0.02056928895	0.01664046376	0.004060209543	0.0169050768	0.04831940532	0.155134573	0.001640881388	0.01957714836	0.02159578809
B	outer_evaluation	LA	uniform_kd_seed1111	uniform_kd	1111	8532	0.04247354677	0.02957037703	0.4851835273	0.5500653946	0.01361482467	0.009769155177	0.002673611045	0.01130677015	0.03194436822	0.04837187767	0.008321612752	0.01302707956	0.01480933892
B	outer_evaluation	LA	moddrop_seed1111	moddrop	1111	8532	0.08257992804	0.04868597232	0.4923638807	0.5625638116	0.01056654979	0.008457980157	0.002003966272	0.008476603776	0.02612885535	0.05132422328	0.00445382091	0.01001200974	0.01175369434
B	outer_evaluation	LA	moddrop_seed1114	moddrop	1114	8532	0.07352778071	0.04739576873	0.4971157586	0.5523788295	0.0209981697	0.0196852553	0.003902880102	0.01647584327	0.05004750863	0.09912797451	0.01371308017	0.01964919815	0.02145310489
B	outer_evaluation	LA	cfcompat_seed1111	cfcompat	1111	8532	0.07608254475	0.07631859441	0.5133652817	0.5732045483	0.006468065736	0.005471458847	0.001210633293	0.005154967308	0.01613512039	0.04526474714	0.001054852321	0.006018338946	0.007390610948
B	outer_evaluation	LA	cfcompat_seed1114	cfcompat	1114	8532	0.06099148236	0.04016462456	0.4980435213	0.5440791544	0.01726130296	0.01790762407	0.003076311573	0.01299343817	0.04390810132	0.1845584011	0.001289263947	0.01611209294	0.01855397811
B	outer_evaluation	LV	uniform_kd_seed1111	uniform_kd	1111	8532	0.08198407195	0.03749587745	0.4986092377	0.57131049	0.01244328001	0.01002008881	0.002378257364	0.01018588804	0.029165419	0.05469673052	0.008556024379	0.01155391056	0.01350969736
B	outer_evaluation	LV	moddrop_seed1111	moddrop	1111	8532	0.08327112462	0.05872682469	0.4971351621	0.572367168	0.01161410599	0.008527634285	0.002454321831	0.009919375181	0.02572071254	0.056775527	0.004102203469	0.01087181359	0.01262608154
B	outer_evaluation	LV	moddrop_seed1114	moddrop	1114	8532	0.04525216184	0.04276228563	0.5102470185	0.5309938847	0.02437525054	0.02014710102	0.004511167109	0.01992600411	0.05642622188	0.08549375534	0.01957337084	0.02296256434	0.02450499705
B	outer_evaluation	LV	cfcompat_seed1111	cfcompat	1111	8532	0.06648638227	0.05767774958	0.4979613788	0.5516118028	0.007149733938	0.005760435363	0.001414565742	0.005841828883	0.01688903123	0.05735185742	0.0003516174402	0.006846828752	0.008022366202
B	outer_evaluation	LV	cfcompat_seed1114	cfcompat	1114	8532	0.07319644296	0.05017565569	0.5044700114	0.5616298236	0.01933512114	0.01883211527	0.003744800389	0.01494229585	0.04532849193	0.195405345	0.001406469761	0.01800049831	0.02095278434
B	outer_evaluation	L	uniform_kd_seed1111	uniform_kd	1111	8532	0.02293420711	0.02153341194	0.4860363022	0.5271554909	0.01006529128	0.009938557852	0.0005765855312	0.007451832294	0.02798988186	0.05306366444	0.004688232536	0.009397782858	0.01073425234
B	outer_evaluation	L	moddrop_seed1111	moddrop	1111	8532	0.07473391861	0.05853115418	0.5181430068	0.5592026217	0.008268042385	0.00855110594	0.0004746718332	0.006025850773	0.02280542403	0.06302125931	0.002812939522	0.00761581656	0.009165044445
B	outer_evaluation	L	moddrop_seed1114	moddrop	1114	8532	0.07338560716	0.04458558753	0.4958407719	0.548779295	0.01808690564	0.02183253332	0.0009660735726	0.01151317358	0.05446210206	0.121017561	0.01172058134	0.01661513166	0.01880762803
B	outer_evaluation	L	cfcompat_seed1111	cfcompat	1111	8532	0.0696019773	0.05590223785	0.4962323244	0.557386982	0.005476066678	0.006641975432	0.0003269948065	0.003752440214	0.0160533417	0.05277407646	0.001406469761	0.004989571593	0.006392310482
B	outer_evaluation	L	cfcompat_seed1114	cfcompat	1114	8532	0.03601053327	0.03645989463	0.4956759445	0.539271081	0.01707048119	0.02575855263	0.0009001001716	0.01083616912	0.04582541212	0.2511697721	0.0002344116268	0.01561427864	0.01856106095
