mode	expert_id	train_rho	outer_rho	sign_reversal	direction
LAV	uniform_kd_seed1111	0.06544894195	0.03798959451	False	A
LAV	moddrop_seed1111	0.09039725401	0.05306261637	False	A
LAV	moddrop_seed1114	0.04308877393	0.07795310151	False	A
LAV	cfcompat_seed1111	0.09087605477	0.06230366589	False	A
LAV	cfcompat_seed1114	0.05032255831	0.08391120001	False	A
LA	uniform_kd_seed1111	0.03970828188	0.05172525402	False	A
LA	moddrop_seed1111	0.08513882323	0.04486064728	False	A
LA	moddrop_seed1114	0.08364046208	0.05488306313	False	A
LA	cfcompat_seed1111	0.07774479189	0.07724995348	False	A
LA	cfcompat_seed1114	0.06763284817	0.05401046809	False	A
LV	uniform_kd_seed1111	0.08464943142	0.04697469632	False	A
LV	moddrop_seed1111	0.09153256357	0.05546624351	False	A
LV	moddrop_seed1114	0.0431812802	0.05026717676	False	A
LV	cfcompat_seed1111	0.06547248367	0.0576499847	False	A
LV	cfcompat_seed1114	0.0719596361	0.09325357806	False	A
L	uniform_kd_seed1111	0.02627632821	0.07262691584	False	A
L	moddrop_seed1111	0.08186514956	0.07609773424	False	A
L	moddrop_seed1114	0.08006814739	0.03130817172	False	A
L	cfcompat_seed1111	0.07448564452	0.05156972879	False	A
L	cfcompat_seed1114	0.03685316117	0.06261369508	False	A
LAV	uniform_kd_seed1111	0.04156294837	0.0630502684	False	B
LAV	moddrop_seed1111	0.05494102399	0.0875360478	False	B
LAV	moddrop_seed1114	0.07799443953	0.04735454039	False	B
LAV	cfcompat_seed1111	0.05884045758	0.0821238982	False	B
LAV	cfcompat_seed1114	0.08672807719	0.04614269156	False	B
LA	uniform_kd_seed1111	0.04817874386	0.04247354677	False	B
LA	moddrop_seed1111	0.04402411038	0.08257992804	False	B
LA	moddrop_seed1114	0.05239061068	0.07352778071	False	B
LA	cfcompat_seed1111	0.07487028236	0.07608254475	False	B
LA	cfcompat_seed1114	0.04576337629	0.06099148236	False	B
LV	uniform_kd_seed1111	0.04508237779	0.08198407195	False	B
LV	moddrop_seed1111	0.05067760101	0.08327112462	False	B
LV	moddrop_seed1114	0.04773707986	0.04525216184	False	B
LV	cfcompat_seed1111	0.05309903852	0.06648638227	False	B
LV	cfcompat_seed1114	0.09400230402	0.07319644296	False	B
L	uniform_kd_seed1111	0.07326279135	0.02293420711	False	B
L	moddrop_seed1111	0.07075042571	0.07473391861	False	B
L	moddrop_seed1114	0.03035988328	0.07338560716	False	B
L	cfcompat_seed1111	0.04938859416	0.0696019773	False	B
L	cfcompat_seed1114	0.06418871329	0.03601053327	False	B
