checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
0	cfcompat_seed1111	LAV	R0_global	0.1	153	0.4661711228	0.5781685276	0.5669687871	0.1007976643
0	cfcompat_seed1111	LAV	R0_global	0.2	306	0.5368460381	0.5744994743	0.5669687871	0.030122749
0	cfcompat_seed1111	LAV	R0_global	0.3	459	0.5385367911	0.5791539282	0.5669687871	0.028431996
0	cfcompat_seed1111	LAV	R0_global	0.5	765	0.5258597116	0.6080778625	0.5669687871	0.04110907545
0	cfcompat_seed1111	LAV	R0_global	0.7	1071	0.5492847395	0.6082315648	0.5669687871	0.01768404758
0	cfcompat_seed1111	LAV	R0_global	1	1530	0.5669687871	0	0.5669687871	0
0	cfcompat_seed1111	LAV	R0_mode	0.1	153	0.4661711228	0.5781685276	0.5669687871	0.1007976643
0	cfcompat_seed1111	LAV	R0_mode	0.2	306	0.5368460381	0.5744994743	0.5669687871	0.030122749
0	cfcompat_seed1111	LAV	R0_mode	0.3	459	0.5385367911	0.5791539282	0.5669687871	0.028431996
0	cfcompat_seed1111	LAV	R0_mode	0.5	765	0.5258597116	0.6080778625	0.5669687871	0.04110907545
0	cfcompat_seed1111	LAV	R0_mode	0.7	1071	0.5492847395	0.6082315648	0.5669687871	0.01768404758
0	cfcompat_seed1111	LAV	R0_mode	1	1530	0.5669687871	0	0.5669687871	0
0	cfcompat_seed1111	LAV	R1	0.1	153	0.4427285704	0.5807732556	0.5669687871	0.1242402167
0	cfcompat_seed1111	LAV	R1	0.2	306	0.4315620611	0.6008204686	0.5669687871	0.135406726
0	cfcompat_seed1111	LAV	R1	0.3	459	0.4651009888	0.6106264149	0.5669687871	0.1018677983
0	cfcompat_seed1111	LAV	R1	0.5	765	0.4866338207	0.6473037534	0.5669687871	0.08033496636
0	cfcompat_seed1111	LAV	R1	0.7	1071	0.5185659144	0.6799088233	0.5669687871	0.04840287269
0	cfcompat_seed1111	LAV	R1	1	1530	0.5669687871	0	0.5669687871	0
0	cfcompat_seed1111	LAV	R2	0.1	153	0.3999848821	0.5855225543	0.5669687871	0.166983905
0	cfcompat_seed1111	LAV	R2	0.2	306	0.4117987177	0.6057613044	0.5669687871	0.1551700694
