outer_fold,expert_id,rows,checkpoint_sha256,run_manifest_sha256,max_abs_final_replay_diff,mean_abs_final_replay_diff,mismatch_gt_1e_6,mismatch_gt_1e_5
1,uniform_kd_seed1111,31176,80d3dcccf5ee068a616e5055dcd6778e2b30de19844c6537cdff8c646129210b,d3decfd7707b995edc998e5b980977f675d702716103676e6226576433410dda,5.000000414e-10,8.233836529e-11,0,0
1,moddrop_seed1111,31176,b0abef91e280cb3dc8324eeadc40417a6d6f02a0c4d8eb0befffc6adc5aca1d1,644f90fac25aa044801734730d780574ad4e34b23a318d41b4d547be4f06b018,5.000000414e-10,6.818006159e-11,0,0
1,moddrop_seed1114,31176,fc54745aa53c137ad00db18b4a17788bae40ec8c8b3d7bd877338b7d5b3c0ecb,f62026e651e6b8ee20d96d866022f54c7437c5830417385c88b37d2116cb7392,5.000000414e-10,8.175415263e-11,0,0
1,cfcompat_seed1111,31176,73de579176d50df08194120a6ca2b5a1f7992cb2b1c5ddc00ae48580442517b5,aba2192bec3a4ce90a4ab84cc86185c522f2e23518d1d389b2de14fd5abee372,4.998779168e-10,7.195725654e-11,0,0
1,cfcompat_seed1114,31176,dcf4cd9577d9a36bb97b56e7ff027d73516d23fbf0296f4ea800389404279cf7,77997abe6451ebc9df8cff7a931bea52d4fca8fd091e4f28f0932200bc48a7b6,5.000000414e-10,7.461602154e-11,0,0
