mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LV	16	ridge	10.0	0.2117326981	0.3530600251
LV	32	ridge	10.0	0.207167031	0.3549594786
LV	16	ridge	1.0	0.2061243771	0.3537523064
LV	32	ridge	1.0	0.203257214	0.3554120865
LV	16	hgb	fixed	0.2023566654	0.3550358373
LV	32	hgb	fixed	0.1991244533	0.3548950228
LV	16	ridge	0.1	0.1982425846	0.3550479515
LV	32	ridge	0.1	0.1980503624	0.3562136989
LV	64	hgb	fixed	0.1980411577	0.3548720787
LV	64	ridge	10.0	0.1950300277	0.3565229093
LV	64	ridge	1.0	0.1921778982	0.3569664728
LV	64	ridge	0.1	0.1864719399	0.3578392349
