mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LA	32	hgb	fixed	0.2097115551	0.3551803305
LA	64	hgb	fixed	0.2096923394	0.3560983002
LA	16	hgb	fixed	0.2002199834	0.3569687555
LA	32	ridge	10.0	0.2000328774	0.3578084653
LA	16	ridge	10.0	0.1952341936	0.3584509297
LA	64	ridge	10.0	0.1951791815	0.3611597839
LA	32	ridge	1.0	0.1949549426	0.358909763
LA	32	ridge	0.1	0.1927757435	0.35959158
LA	16	ridge	1.0	0.1913204675	0.3590913875
LA	16	ridge	0.1	0.191230029	0.3592886156
LA	64	ridge	0.1	0.1907079955	0.3633086115
LA	64	ridge	1.0	0.1907025517	0.3626637166
