direction	tau	inner_train_J	inner_valid_J	inner_valid_mean_entropy
A	0.02	0.402242669	0.4248495575	0.3617811472
A	0.05	0.4124822638	0.4350536934	0.7707700118
A	0.1	0.4355577353	0.459030323	1.147342621
A	0.2	0.4695079632	0.4948834911	1.419431654
