checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
1	cfcompat_seed1114	LAV	R0_global	0.1	130	0.5931710056	0.5628163335	0.5658588218	-0.0273121838
1	cfcompat_seed1114	LAV	R0_global	0.2	260	0.5744603245	0.5637022252	0.5658588218	-0.008601502689
1	cfcompat_seed1114	LAV	R0_global	0.3	390	0.5696123277	0.5642448557	0.5658588218	-0.003753505854
1	cfcompat_seed1114	LAV	R0_global	0.5	649	0.5914591695	0.5402189674	0.5658588218	-0.02560034771
1	cfcompat_seed1114	LAV	R0_global	0.7	908	0.5708423943	0.5542262155	0.5658588218	-0.004983572504
1	cfcompat_seed1114	LAV	R0_global	1	1297	0.5658588218	0	0.5658588218	1.110223025e-16
1	cfcompat_seed1114	LAV	R0_mode	0.1	130	0.5931710056	0.5628163335	0.5658588218	-0.0273121838
1	cfcompat_seed1114	LAV	R0_mode	0.2	260	0.5744603245	0.5637022252	0.5658588218	-0.008601502689
1	cfcompat_seed1114	LAV	R0_mode	0.3	390	0.5696123277	0.5642448557	0.5658588218	-0.003753505854
1	cfcompat_seed1114	LAV	R0_mode	0.5	649	0.5914591695	0.5402189674	0.5658588218	-0.02560034771
1	cfcompat_seed1114	LAV	R0_mode	0.7	908	0.5708423943	0.5542262155	0.5658588218	-0.004983572504
1	cfcompat_seed1114	LAV	R0_mode	1	1297	0.5658588218	0	0.5658588218	1.110223025e-16
1	cfcompat_seed1114	LAV	R1	0.1	130	0.4500665299	0.5787577061	0.5658588218	0.1157922919
1	cfcompat_seed1114	LAV	R1	0.2	260	0.4473600735	0.5955692119	0.5658588218	0.1184987483
1	cfcompat_seed1114	LAV	R1	0.3	390	0.4430582807	0.6186617006	0.5658588218	0.1228005411
1	cfcompat_seed1114	LAV	R1	0.5	649	0.4832151875	0.6486299926	0.5658588218	0.08264363431
1	cfcompat_seed1114	LAV	R1	0.7	908	0.5123927855	0.6906587215	0.5658588218	0.05346603633
1	cfcompat_seed1114	LAV	R1	1	1297	0.5658588218	0	0.5658588218	1.110223025e-16
1	cfcompat_seed1114	LAV	R2	0.1	130	0.3629041457	0.5884673119	0.5658588218	0.2029546761
1	cfcompat_seed1114	LAV	R2	0.2	260	0.3918486357	0.6094872195	0.5658588218	0.1740101861
1	cfcompat_seed1114	LAV	R2	0.3	390	0.434431549	0.6223711001	0.5658588218	0.1314272728
1	cfcompat_seed1114	LAV	R2	0.5	649	0.4748321446	0.6570259723	0.5658588218	0.09102667723
1	cfcompat_seed1114	LAV	R2	0.7	908	0.5045400671	0.7089884599	0.5658588218	0.06131875467
1	cfcompat_seed1114	LAV	R2	1	1297	0.5658588218	0	0.5658588218	0
1	cfcompat_seed1114	LAV	N3_output_only	0.1	130	0.4500665299	0.5787577061	0.5658588218	0.1157922919
1	cfcompat_seed1114	LAV	N3_output_only	0.2	260	0.4473600735	0.5955692119	0.5658588218	0.1184987483
1	cfcompat_seed1114	LAV	N3_output_only	0.3	390	0.4430582807	0.6186617006	0.5658588218	0.1228005411
1	cfcompat_seed1114	LAV	N3_output_only	0.5	649	0.4832151875	0.6486299926	0.5658588218	0.08264363431
