direction	config_id	mode	expert_id	spearman_risk_error	spearman_regret
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LA	uniform_kd_seed1111	0.1549616409	0.1985911568
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LA	moddrop_seed1111	0.1733873319	0.3203339262
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LA	moddrop_seed1114	0.1553286235	0.2922311426
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LA	cfcompat_seed1111	0.1647794642	0.3113108767
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LA	cfcompat_seed1114	0.1154679608	0.2796598606
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LV	uniform_kd_seed1111	0.1534861222	0.2557864448
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LV	moddrop_seed1111	0.1676928887	0.314322704
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LV	moddrop_seed1114	0.1429891769	0.3147229961
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LV	cfcompat_seed1111	0.1536219008	0.3432172192
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LV	cfcompat_seed1114	0.1125619507	0.2761658297
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	L	uniform_kd_seed1111	0.1518601627	0.2125217813
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	L	moddrop_seed1111	0.1724457188	0.3206185102
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	L	moddrop_seed1114	0.1487942518	0.2820162324
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	L	cfcompat_seed1111	0.1586893539	0.3241452611
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	L	cfcompat_seed1114	0.1250556446	0.267752631
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LAV	uniform_kd_seed1111	0.1857833537	0.2420335096
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LAV	moddrop_seed1111	0.2123301167	0.3315636656
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LAV	moddrop_seed1114	0.1917751076	0.3090430095
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LAV	cfcompat_seed1111	0.1871030501	0.3085444518
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LAV	cfcompat_seed1114	0.1635697287	0.2746940088
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LA	uniform_kd_seed1111	0.1514361542	0.1755571536
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LA	moddrop_seed1111	0.1737886555	0.3117165537
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LA	moddrop_seed1114	0.1406633808	0.2884559534
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LA	cfcompat_seed1111	0.1539901206	0.2816564877
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LA	cfcompat_seed1114	0.1195771993	0.2776184989
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LV	uniform_kd_seed1111	0.1808723021	0.2568330397
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LV	moddrop_seed1111	0.1780285494	0.3319700953
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LV	moddrop_seed1114	0.1707367395	0.3016965132
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LV	cfcompat_seed1111	0.1708009399	0.329844437
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LV	cfcompat_seed1114	0.139326656	0.2953351718
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	L	uniform_kd_seed1111	0.1883664118	0.1827295242
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	L	moddrop_seed1111	0.198268855	0.3094293781
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	L	moddrop_seed1114	0.1738360586	0.2576725957
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	L	cfcompat_seed1111	0.1922899778	0.3024719216
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	L	cfcompat_seed1114	0.1540087364	0.2595546867
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LAV	uniform_kd_seed1111	0.1772831923	0.2101305225
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LAV	moddrop_seed1111	0.1976752854	0.2660739397
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LAV	moddrop_seed1114	0.1507384273	0.2200898038
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LAV	cfcompat_seed1111	0.1725856838	0.2562146979
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LAV	cfcompat_seed1114	0.1510952367	0.247067641
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LA	uniform_kd_seed1111	0.1619262258	0.1350631245
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LA	moddrop_seed1111	0.1926963216	0.2462441803
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LA	moddrop_seed1114	0.1552224385	0.2452054987
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LA	cfcompat_seed1111	0.1719689016	0.2372251621
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LA	cfcompat_seed1114	0.1476498882	0.2318485865
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LV	uniform_kd_seed1111	0.1841436084	0.1942633581
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LV	moddrop_seed1111	0.1861807455	0.2583461204
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LV	moddrop_seed1114	0.1407762104	0.2226430064
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LV	cfcompat_seed1111	0.1785485223	0.2781491216
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LV	cfcompat_seed1114	0.1241955686	0.2125816535
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	L	uniform_kd_seed1111	0.1998603378	0.1927594843
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	L	moddrop_seed1111	0.2115780349	0.263661631
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	L	moddrop_seed1114	0.1542496093	0.2180222698
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	L	cfcompat_seed1111	0.2077335807	0.261468467
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	L	cfcompat_seed1114	0.1512485862	0.2523284392
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LAV	uniform_kd_seed1111	0.1251107795	0.04679111697
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LAV	moddrop_seed1111	0.1346181037	0.09432725343
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LAV	moddrop_seed1114	0.0772448897	0.04730115842
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LAV	cfcompat_seed1111	0.1359258949	0.08614819649
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LAV	cfcompat_seed1114	0.07724852819	0.04701433162
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LA	uniform_kd_seed1111	0.08478221914	-0.01649176628
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LA	moddrop_seed1111	0.1308595158	0.1416574147
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LA	moddrop_seed1114	0.1106228143	0.0733193776
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LA	cfcompat_seed1111	0.1276060995	0.1290181813
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LA	cfcompat_seed1114	0.1043573311	0.08966076224
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LV	uniform_kd_seed1111	0.1589532474	0.0571084425
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LV	moddrop_seed1111	0.1336439439	0.04081769852
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LV	moddrop_seed1114	0.1181928717	0.07167715982
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LV	cfcompat_seed1111	0.1508676346	0.1109580665
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LV	cfcompat_seed1114	0.1197912831	0.05425028037
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	L	uniform_kd_seed1111	0.1282777261	0.03344412135
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	L	moddrop_seed1111	0.1452378242	0.1287857723
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	L	moddrop_seed1114	0.1054685355	0.08117623917
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	L	cfcompat_seed1111	0.1351731982	0.1284063254
A	C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	L	cfcompat_seed1114	0.1153850378	0.1375424038
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LAV	uniform_kd_seed1111	0.122137013	0.2100845772
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LAV	moddrop_seed1111	0.1559160412	0.3124079022
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LAV	moddrop_seed1114	0.1236325571	0.2951881837
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LAV	cfcompat_seed1111	0.1444739064	0.3267151544
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LAV	cfcompat_seed1114	0.1054461444	0.2423688992
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LA	uniform_kd_seed1111	0.1346984802	0.1896674181
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LA	moddrop_seed1111	0.1560345164	0.3105148211
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LA	moddrop_seed1114	0.1396558514	0.3062602806
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LA	cfcompat_seed1111	0.1385115353	0.3189652055
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LA	cfcompat_seed1114	0.1138054223	0.2679668942
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LV	uniform_kd_seed1111	0.1209381471	0.2206057839
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LV	moddrop_seed1111	0.1442693908	0.2960009708
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LV	moddrop_seed1114	0.1241018112	0.3111817306
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LV	cfcompat_seed1111	0.1317535924	0.3314108594
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	LV	cfcompat_seed1114	0.1002039635	0.2511015564
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	L	uniform_kd_seed1111	0.1577361451	0.2136831802
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	L	moddrop_seed1111	0.1770453733	0.3006468071
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	L	moddrop_seed1114	0.156237659	0.3009596569
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	L	cfcompat_seed1111	0.1720812566	0.3270164972
A	D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	L	cfcompat_seed1114	0.1416595198	0.260968787
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	LAV	uniform_kd_seed1111	0.1760931706	0.2251793226
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	LAV	moddrop_seed1111	0.1918672244	0.3264772528
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	LAV	moddrop_seed1114	0.1686497543	0.2991045454
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	LAV	cfcompat_seed1111	0.1886510085	0.3155435069
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	LAV	cfcompat_seed1114	0.1383171653	0.2571965935
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	LA	uniform_kd_seed1111	0.1549011157	0.1981420705
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	LA	moddrop_seed1111	0.1732670329	0.3199005337
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	LA	moddrop_seed1114	0.1548306465	0.2919618174
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	LA	cfcompat_seed1111	0.1644561067	0.3115220113
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	LA	cfcompat_seed1114	0.115354673	0.2796407969
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	LV	uniform_kd_seed1111	0.1530915165	0.2554062874
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	LV	moddrop_seed1111	0.1671660604	0.3142892627
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	LV	moddrop_seed1114	0.1431979909	0.3150971418
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	LV	cfcompat_seed1111	0.1527276042	0.3428147177
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	LV	cfcompat_seed1114	0.1120831009	0.2762621045
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	L	uniform_kd_seed1111	0.1489162647	0.2123284641
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	L	moddrop_seed1111	0.1732756866	0.3227833415
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	L	moddrop_seed1114	0.1485397598	0.286480736
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	L	cfcompat_seed1111	0.1567250414	0.3280755138
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	L	cfcompat_seed1114	0.1225808083	0.269344654
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	LAV	uniform_kd_seed1111	0.1853991136	0.2421205629
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	LAV	moddrop_seed1111	0.2119673867	0.3317388194
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	LAV	moddrop_seed1114	0.1915124679	0.3092752932
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	LAV	cfcompat_seed1111	0.1867808658	0.3087210242
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	LAV	cfcompat_seed1114	0.1631395905	0.274819353
