mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LV	32	ridge	10.0	0.2175385124	0.3506423524
LV	32	ridge	1.0	0.2160554466	0.350931315
LV	32	ridge	0.1	0.214156105	0.3511526788
LV	64	ridge	0.1	0.2108411053	0.3513394365
LV	64	ridge	1.0	0.2108056264	0.3514714319
LV	64	ridge	10.0	0.209645139	0.3518032893
LV	16	ridge	1.0	0.2067764931	0.3503234405
LV	32	hgb	fixed	0.2062350791	0.3524631204
LV	16	ridge	10.0	0.2060591016	0.3500921436
LV	64	hgb	fixed	0.2059937672	0.3527551901
LV	16	ridge	0.1	0.2048093975	0.3505061086
LV	16	hgb	fixed	0.2001269045	0.352943414
