mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LA	64	ridge	1.0	0.221772055	0.3438448319
LA	64	ridge	0.1	0.2211684275	0.3440800969
LA	64	ridge	10.0	0.2201613389	0.3441287602
LA	32	ridge	1.0	0.2112830107	0.344683996
LA	32	ridge	10.0	0.2106231777	0.3451068264
LA	32	ridge	0.1	0.210343503	0.3449489945
LA	16	hgb	fixed	0.2072555934	0.3459256594
LA	16	ridge	10.0	0.206737475	0.3461251898
LA	16	ridge	1.0	0.2056927863	0.3459342662
LA	16	ridge	0.1	0.2041019851	0.3461036631
LA	32	hgb	fixed	0.1969294834	0.3459493773
LA	64	hgb	fixed	0.1924539254	0.3474714829
