algorithm	parameter	inner_valid_AUROC	inner_valid_AUPRC
logistic	10.0	0.6163164761	0.2740033748
logistic	1.0	0.6148536545	0.2673266106
logistic	0.1	0.614068417	0.2715359985
hgb	fixed	0.602967438	0.2541950517
