mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LV	16	ridge	1.0	0.2205457942	0.3414641337
LV	16	ridge	0.1	0.2202043725	0.3414259927
LV	16	ridge	10.0	0.2187932169	0.3416558082
LV	64	ridge	1.0	0.2170261904	0.3414809266
LV	64	ridge	0.1	0.2169154353	0.3413502626
LV	64	ridge	10.0	0.2150103574	0.3420723566
LV	32	ridge	10.0	0.2120160419	0.3416584761
LV	32	ridge	1.0	0.2118256597	0.3415873029
LV	32	ridge	0.1	0.2092199447	0.341724816
LV	16	hgb	fixed	0.2086405193	0.3445362916
LV	32	hgb	fixed	0.2076032927	0.3449193768
LV	64	hgb	fixed	0.2034960739	0.3455058926
