algorithm	parameter	inner_valid_AUROC	inner_valid_AUPRC
hgb	fixed	0.5895048272	0.2320411389
logistic	10.0	0.586733105	0.2396206591
logistic	1.0	0.5853690439	0.2386297662
logistic	0.1	0.5829212083	0.2360507249
