mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LA	16	ridge	10.0	0.1893466469	0.360320714
LA	16	ridge	1.0	0.1891445971	0.3604295471
LA	16	ridge	0.1	0.1844012002	0.3609688515
LA	32	ridge	1.0	0.1818287021	0.3615124725
LA	32	ridge	10.0	0.1808352077	0.361714594
LA	32	ridge	0.1	0.1772569306	0.3619067683
LA	16	hgb	fixed	0.1738364252	0.3627431482
LA	64	ridge	1.0	0.1660022445	0.3647352846
LA	64	ridge	10.0	0.1649909133	0.3649613288
LA	64	ridge	0.1	0.1643969402	0.3650517011
LA	32	hgb	fixed	0.1547417247	0.3635031262
LA	64	hgb	fixed	0.1524425912	0.3642698309
