mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
L	64	ridge	0.1	0.2376520353	0.3515466962
L	64	ridge	10.0	0.2372453339	0.3508511142
L	64	ridge	1.0	0.2365863138	0.3513986052
L	16	ridge	10.0	0.2285165925	0.3504888128
L	32	ridge	10.0	0.2264230751	0.350693638
L	16	ridge	1.0	0.2252909933	0.350279562
L	32	ridge	1.0	0.225250712	0.3511004009
L	32	ridge	0.1	0.2240978289	0.3511965664
L	16	ridge	0.1	0.2239486861	0.350153725
L	16	hgb	fixed	0.2117783672	0.3509894735
L	64	hgb	fixed	0.2117596343	0.3509874939
L	32	hgb	fixed	0.2077205874	0.3508454366
