checkpoint_fold	expert_id	mode	confidence_bottom_percent	error_top_percent	event_count	event_prevalence	R2_AUROC	R2_AUPRC	R2_recall_at_precision_0p8
1	uniform_kd_seed1111	LAV	20	10	13	0.0100231303	0.8534028277	0.03641981391	0
1	uniform_kd_seed1111	LAV	20	20	34	0.02621434079	0.8941828513	0.176926192	0.02941176471
1	uniform_kd_seed1111	LAV	30	10	22	0.01696222051	0.8108377897	0.04424573148	0
1	uniform_kd_seed1111	LAV	30	20	54	0.04163454125	0.8467119573	0.1651828172	0.01851851852
1	uniform_kd_seed1111	LAV	40	10	35	0.02698535081	0.7432420195	0.05132290317	0
1	uniform_kd_seed1111	LAV	40	20	75	0.05782575173	0.7829023459	0.1576485509	0.01333333333
1	uniform_kd_seed1111	LA	20	10	14	0.01079414032	0.8427235274	0.03827189366	0
1	uniform_kd_seed1111	LA	20	20	27	0.02081727062	0.8825021872	0.1081118393	0
1	uniform_kd_seed1111	LA	30	10	20	0.01542020046	0.8689115114	0.07229536686	0
1	uniform_kd_seed1111	LA	30	20	44	0.03392444102	0.9046288907	0.2138352842	0
1	uniform_kd_seed1111	LA	40	10	25	0.01927525058	0.7751886792	0.06434096543	0
1	uniform_kd_seed1111	LA	40	20	59	0.04548959136	0.7896689576	0.1787234266	0
1	uniform_kd_seed1111	LV	20	10	12	0.009252120278	0.8367055772	0.03459585929	0
1	uniform_kd_seed1111	LV	20	20	32	0.02467232074	0.880805336	0.216103867	0.09375
1	uniform_kd_seed1111	LV	30	10	17	0.01310717039	0.8303308824	0.04093931797	0
1	uniform_kd_seed1111	LV	30	20	45	0.03469545104	0.8695598154	0.200331043	0.06666666667
1	uniform_kd_seed1111	LV	40	10	31	0.02390131072	0.7088875299	0.04244919901	0
1	uniform_kd_seed1111	LV	40	20	70	0.05397070162	0.7541739434	0.1643411543	0.04285714286
1	uniform_kd_seed1111	L	20	10	10	0.007710100231	0.8354312354	0.02397677812	0
1	uniform_kd_seed1111	L	20	20	26	0.0200462606	0.8685620045	0.09014518787	0
1	uniform_kd_seed1111	L	30	10	19	0.01464919044	0.8833703978	0.07411731156	0
1	uniform_kd_seed1111	L	30	20	40	0.03084040093	0.9002684964	0.1719788478	0
1	uniform_kd_seed1111	L	40	10	27	0.02081727062	0.7556138816	0.06204163922	0
1	uniform_kd_seed1111	L	40	20	64	0.04934464148	0.7405717762	0.1370782645	0
