checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
1	uniform_kd_seed1111	LAV	R0_global	0.1	130	0.549069735	0.5566828653	0.5559197913	0.006850056303
1	uniform_kd_seed1111	LAV	R0_global	0.2	260	0.5367145199	0.5607349992	0.5559197913	0.01920527141
1	uniform_kd_seed1111	LAV	R0_global	0.3	390	0.5453987268	0.5604437331	0.5559197913	0.0105210645
1	uniform_kd_seed1111	LAV	R0_global	0.5	649	0.5733667981	0.5384458602	0.5559197913	-0.01744700679
1	uniform_kd_seed1111	LAV	R0_global	0.7	908	0.5594269258	0.5477334723	0.5559197913	-0.003507134477
1	uniform_kd_seed1111	LAV	R0_global	1	1297	0.5559197913	0	0.5559197913	0
1	uniform_kd_seed1111	LAV	R0_mode	0.1	130	0.549069735	0.5566828653	0.5559197913	0.006850056303
1	uniform_kd_seed1111	LAV	R0_mode	0.2	260	0.5367145199	0.5607349992	0.5559197913	0.01920527141
1	uniform_kd_seed1111	LAV	R0_mode	0.3	390	0.5453987268	0.5604437331	0.5559197913	0.0105210645
1	uniform_kd_seed1111	LAV	R0_mode	0.5	649	0.5733667981	0.5384458602	0.5559197913	-0.01744700679
1	uniform_kd_seed1111	LAV	R0_mode	0.7	908	0.5594269258	0.5477334723	0.5559197913	-0.003507134477
1	uniform_kd_seed1111	LAV	R0_mode	1	1297	0.5559197913	0	0.5559197913	0
1	uniform_kd_seed1111	LAV	R1	0.1	130	0.3939422427	0.5739635628	0.5559197913	0.1619775486
1	uniform_kd_seed1111	LAV	R1	0.2	260	0.42115091	0.5897094819	0.5559197913	0.1347688813
1	uniform_kd_seed1111	LAV	R1	0.3	390	0.4314497417	0.6094405403	0.5559197913	0.1244700496
1	uniform_kd_seed1111	LAV	R1	0.5	649	0.4806055248	0.6313502835	0.5559197913	0.07531426648
1	uniform_kd_seed1111	LAV	R1	0.7	908	0.5080806356	0.6675854813	0.5559197913	0.04783915575
1	uniform_kd_seed1111	LAV	R1	1	1297	0.5559197913	0	0.5559197913	1.110223025e-16
1	uniform_kd_seed1111	LAV	R2	0.1	130	0.3235551553	0.5818044552	0.5559197913	0.2323646361
1	uniform_kd_seed1111	LAV	R2	0.2	260	0.3822428019	0.5994646488	0.5559197913	0.1736769894
1	uniform_kd_seed1111	LAV	R2	0.3	390	0.4313443765	0.6094858462	0.5559197913	0.1245754148
1	uniform_kd_seed1111	LAV	R2	0.5	649	0.4734827319	0.6384840684	0.5559197913	0.08243705943
1	uniform_kd_seed1111	LAV	R2	0.7	908	0.5084661212	0.6666856845	0.5559197913	0.0474536701
1	uniform_kd_seed1111	LAV	R2	1	1297	0.5559197913	0	0.5559197913	0
1	uniform_kd_seed1111	LAV	N3_output_only	0.1	130	0.3939422427	0.5739635628	0.5559197913	0.1619775486
1	uniform_kd_seed1111	LAV	N3_output_only	0.2	260	0.42115091	0.5897094819	0.5559197913	0.1347688813
1	uniform_kd_seed1111	LAV	N3_output_only	0.3	390	0.4314497417	0.6094405403	0.5559197913	0.1244700496
1	uniform_kd_seed1111	LAV	N3_output_only	0.5	649	0.4806055248	0.6313502835	0.5559197913	0.07531426648
1	uniform_kd_seed1111	LAV	N3_output_only	0.7	908	0.5080806356	0.6675854813	0.5559197913	0.04783915575
1	uniform_kd_seed1111	LAV	N3_output_only	1	1297	0.5559197913	0	0.5559197913	1.110223025e-16
1	uniform_kd_seed1111	LAV	N2_length_mask_only	0.1	130	0.5039033986	0.5617142481	0.5559197913	0.05201639278
1	uniform_kd_seed1111	LAV	N2_length_mask_only	0.2	260	0.5574899534	0.5555261152	0.5559197913	-0.001570162109
1	uniform_kd_seed1111	LAV	N2_length_mask_only	0.3	390	0.5395036587	0.5629785474	0.5559197913	0.0164161326
1	uniform_kd_seed1111	LAV	N2_length_mask_only	0.5	649	0.5466779889	0.5651758558	0.5559197913	0.009241802424
1	uniform_kd_seed1111	LAV	N2_length_mask_only	0.7	908	0.5502154405	0.5692348313	0.5559197913	0.005704350803
1	uniform_kd_seed1111	LAV	N2_length_mask_only	1	1297	0.5559197913	0	0.5559197913	1.110223025e-16
1	uniform_kd_seed1111	LAV	N5_label_bin_prior	0.1	130	0.3655749917	0.5771235822	0.5559197913	0.1903447996
1	uniform_kd_seed1111	LAV	N5_label_bin_prior	0.2	260	0.3995298669	0.5951303799	0.5559197913	0.1563899244
1	uniform_kd_seed1111	LAV	N5_label_bin_prior	0.3	390	0.4445555664	0.6038051802	0.5559197913	0.1113642249
