algorithm	parameter	inner_valid_AUROC	inner_valid_AUPRC
hgb	fixed	0.8969885844	0.2633118633
logistic	0.1	0.8790522001	0.1800758318
logistic	1.0	0.8700586024	0.170918153
logistic	10.0	0.864858914	0.1645609982
