algorithm	parameter	inner_valid_AUROC	inner_valid_AUPRC
logistic	0.1	0.6314056314	0.2671740575
logistic	1.0	0.628954379	0.2732822177
logistic	10.0	0.6288295038	0.274365091
hgb	fixed	0.6236494986	0.2763350546
