mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LAV	16	ridge	10.0	0.2314498485	0.3583558188
LAV	16	ridge	1.0	0.2287311593	0.3586518477
LAV	16	ridge	0.1	0.2280019508	0.3584957027
LAV	32	ridge	10.0	0.2184996954	0.3591073297
LAV	64	ridge	10.0	0.2179891007	0.3604581138
LAV	32	ridge	1.0	0.213084787	0.3594151192
LAV	32	ridge	0.1	0.2125815691	0.3592542762
LAV	64	ridge	1.0	0.2124549718	0.3611734038
LAV	64	ridge	0.1	0.2119902457	0.3611651949
LAV	64	hgb	fixed	0.2111942843	0.3598122058
LAV	32	hgb	fixed	0.205579623	0.3601037588
LAV	16	hgb	fixed	0.186883817	0.3614725465
