mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LAV	16	hgb	fixed	0.2110392046	0.352709184
LAV	32	hgb	fixed	0.2089277475	0.3526683402
LAV	64	ridge	0.1	0.2087064863	0.3550037518
LAV	64	ridge	1.0	0.2083664608	0.3552455868
LAV	64	ridge	10.0	0.2080326804	0.3544030804
LAV	32	ridge	1.0	0.20442018	0.3563936379
LAV	32	ridge	0.1	0.2039869765	0.356287701
LAV	32	ridge	10.0	0.2037483114	0.3555778175
LAV	16	ridge	1.0	0.1973391294	0.3547963169
LAV	16	ridge	0.1	0.1972974488	0.3546755191
LAV	64	hgb	fixed	0.1968398604	0.353376609
LAV	16	ridge	10.0	0.1959944182	0.3540385022
