mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
L	32	hgb	fixed	0.2274750775	0.3469312418
L	64	hgb	fixed	0.2226648794	0.3474410583
L	16	hgb	fixed	0.2191620409	0.3471626582
L	32	ridge	10.0	0.2087209901	0.3469369705
L	16	ridge	10.0	0.2085064083	0.3463542041
L	64	ridge	10.0	0.2084382736	0.3459917696
L	16	ridge	1.0	0.1983687956	0.3465687601
L	64	ridge	1.0	0.1981826635	0.3466246712
L	16	ridge	0.1	0.1970199272	0.3461811172
L	32	ridge	1.0	0.1962305421	0.3471081133
L	64	ridge	0.1	0.1961960595	0.3468769603
L	32	ridge	0.1	0.1932279133	0.3468589283
