algorithm	parameter	inner_valid_AUROC	inner_valid_AUPRC
logistic	0.1	0.6275847276	0.2832439602
logistic	1.0	0.6232565899	0.2798044624
hgb	fixed	0.6228085228	0.2822248775
logistic	10.0	0.622298489	0.2813768006
