algorithm	parameter	inner_valid_AUROC	inner_valid_AUPRC
logistic	0.1	0.8751899696	0.2052453629
hgb	fixed	0.8744511989	0.161379542
logistic	1.0	0.8732058426	0.1915760668
logistic	10.0	0.8722982101	0.1937564429
