checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
1	moddrop_seed1114	LAV	R0_global	0.1	130	0.5787343588	0.5627603964	0.5643614875	-0.0143728713
1	moddrop_seed1114	LAV	R0_global	0.2	260	0.5764491064	0.5613308405	0.5643614875	-0.01208761887
1	moddrop_seed1114	LAV	R0_global	0.3	390	0.573217223	0.5605536189	0.5643614875	-0.008855735515
1	moddrop_seed1114	LAV	R0_global	0.5	649	0.5919627046	0.5367176759	0.5643614875	-0.02760121715
1	moddrop_seed1114	LAV	R0_global	0.7	908	0.5755626036	0.5382159517	0.5643614875	-0.01120111609
1	moddrop_seed1114	LAV	R0_global	1	1297	0.5643614875	0	0.5643614875	-1.110223025e-16
1	moddrop_seed1114	LAV	R0_mode	0.1	130	0.5787343588	0.5627603964	0.5643614875	-0.0143728713
1	moddrop_seed1114	LAV	R0_mode	0.2	260	0.5764491064	0.5613308405	0.5643614875	-0.01208761887
1	moddrop_seed1114	LAV	R0_mode	0.3	390	0.573217223	0.5605536189	0.5643614875	-0.008855735515
1	moddrop_seed1114	LAV	R0_mode	0.5	649	0.5919627046	0.5367176759	0.5643614875	-0.02760121715
1	moddrop_seed1114	LAV	R0_mode	0.7	908	0.5755626036	0.5382159517	0.5643614875	-0.01120111609
1	moddrop_seed1114	LAV	R0_mode	1	1297	0.5643614875	0	0.5643614875	-1.110223025e-16
1	moddrop_seed1114	LAV	R1	0.1	130	0.385326616	0.5843053892	0.5643614875	0.1790348715
1	moddrop_seed1114	LAV	R1	0.2	260	0.3938729942	0.6071069149	0.5643614875	0.1704884933
1	moddrop_seed1114	LAV	R1	0.3	390	0.4203789146	0.6262724064	0.5643614875	0.1439825729
1	moddrop_seed1114	LAV	R1	0.5	649	0.4778756566	0.6509807841	0.5643614875	0.08648583085
1	moddrop_seed1114	LAV	R1	0.7	908	0.5206547281	0.6663813784	0.5643614875	0.04370675942
1	moddrop_seed1114	LAV	R1	1	1297	0.5643614875	0	0.5643614875	-1.110223025e-16
1	moddrop_seed1114	LAV	R2	0.1	130	0.3463623224	0.5886458846	0.5643614875	0.2179991651
1	moddrop_seed1114	LAV	R2	0.2	260	0.3767247813	0.6114063704	0.5643614875	0.1876367062
1	moddrop_seed1114	LAV	R2	0.3	390	0.4162502799	0.6280476738	0.5643614875	0.1481112076
1	moddrop_seed1114	LAV	R2	0.5	649	0.4725976953	0.6562668905	0.5643614875	0.09176379217
1	moddrop_seed1114	LAV	R2	0.7	908	0.5051536661	0.7025638059	0.5643614875	0.05920782142
1	moddrop_seed1114	LAV	R2	1	1297	0.5643614875	0	0.5643614875	0
1	moddrop_seed1114	LAV	N3_output_only	0.1	130	0.385326616	0.5843053892	0.5643614875	0.1790348715
