algorithm	parameter	inner_valid_AUROC	inner_valid_AUPRC
hgb	fixed	0.9063724159	0.2302322147
logistic	0.1	0.8794554551	0.191382138
logistic	1.0	0.8767598805	0.2017491233
logistic	10.0	0.872415933	0.2043509941
