mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LA	32	hgb	fixed	0.2140538787	0.349800856
LA	64	hgb	fixed	0.2108010905	0.3501397785
LA	16	ridge	0.1	0.21040576	0.3535193638
LA	64	ridge	0.1	0.203697018	0.3561708265
LA	16	ridge	1.0	0.2019940064	0.3539752797
LA	64	ridge	1.0	0.2010982365	0.3565417282
LA	64	ridge	10.0	0.2006177603	0.3561627835
LA	16	ridge	10.0	0.199641692	0.3542396675
LA	32	ridge	0.1	0.1971323901	0.3540942073
LA	32	ridge	1.0	0.1932220768	0.3545685719
LA	32	ridge	10.0	0.1914298424	0.3547211314
LA	16	hgb	fixed	0.190202538	0.351670805
