mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LA	32	hgb	fixed	0.20816649	0.3603869359
LA	32	ridge	0.1	0.2067164917	0.3583424193
LA	32	ridge	10.0	0.2054928011	0.358665701
LA	32	ridge	1.0	0.2046621533	0.3587268568
LA	64	ridge	0.1	0.2034874269	0.3583566196
LA	16	ridge	0.1	0.2034867625	0.358762024
LA	16	ridge	10.0	0.2025972594	0.35954672
LA	64	ridge	1.0	0.2018474006	0.3585618214
LA	16	ridge	1.0	0.2017676685	0.3595769524
LA	64	ridge	10.0	0.2013647952	0.3583376379
LA	64	hgb	fixed	0.198315656	0.3601055118
LA	16	hgb	fixed	0.1808072082	0.3624540446
