Mode	AbsentBranch	Layer	AbsentNorm	PresentNorm	GhostActivationRatio
LA	vision	shared_encoder_output	196.89437866210938	197.333984375	0.9977722756965358
LA	vision	specific_encoder_output	192.86416625976562	192.88302612304688	0.9999022212391555
LA	vision	positional_dropout_output	138.5823516845703	1201.677734375	0.115324057124723
LA	vision	transformer_ffn_output	195.89540100097656	195.881591796875	1.0000704977122858
LA	vision	lfa_cross_attention_output	196.19920349121094	196.1754913330078	1.0001208721744037
LA	vision	projector_output	15.319270133972168	15.32744312286377	0.9994667741496682
LA	vision	specific_prediction_hidden	28.236120223999023	28.28048324584961	0.9984313202336069
LA	vision	final_fusion_input	15.319270133972168	15.32744312286377	0.9994667741496682
LV	audio	shared_encoder_output	196.88571166992188	197.84524536132812	0.9951500796005746
LV	audio	specific_encoder_output	199.0724639892578	198.8811492919922	1.0009619549059612
LV	audio	positional_dropout_output	138.49942016601562	2099.9677734375	0.06595311695631487
LV	audio	transformer_ffn_output	196.19192504882812	196.20819091796875	0.9999170989291246
LV	audio	lfa_cross_attention_output	196.2057647705078	196.2248992919922	0.9999024867814716
LV	audio	projector_output	14.07009220123291	14.070626258850098	0.999962044502614
LV	audio	specific_prediction_hidden	29.72752571105957	29.70768928527832	1.0006677202521463
LV	audio	final_fusion_input	14.07009220123291	14.070626258850098	0.999962044502614
L	audio	shared_encoder_output	196.88571166992188	197.84524536132812	0.9951500796005746
L	audio	specific_encoder_output	199.0724639892578	198.8811492919922	1.0009619549059612
L	audio	positional_dropout_output	138.49942016601562	2099.9677734375	0.06595311695631487
L	audio	transformer_ffn_output	196.19192504882812	196.20819091796875	0.9999170989291246
L	audio	lfa_cross_attention_output	196.2057647705078	196.2248992919922	0.9999024867814716
L	audio	projector_output	14.07009220123291	14.070626258850098	0.999962044502614
L	audio	specific_prediction_hidden	29.72752571105957	29.70768928527832	1.0006677202521463
L	audio	final_fusion_input	14.07009220123291	14.070626258850098	0.999962044502614
L	vision	shared_encoder_output	196.89437866210938	197.333984375	0.9977722756965358
L	vision	specific_encoder_output	192.86416625976562	192.88302612304688	0.9999022212391555
L	vision	positional_dropout_output	138.5823516845703	1201.677734375	0.115324057124723
L	vision	transformer_ffn_output	195.89540100097656	195.881591796875	1.0000704977122858
L	vision	lfa_cross_attention_output	196.19920349121094	196.1754913330078	1.0001208721744037
L	vision	projector_output	15.319270133972168	15.32744312286377	0.9994667741496682
L	vision	specific_prediction_hidden	28.236120223999023	28.28048324584961	0.9984313202336069
L	vision	final_fusion_input	15.319270133972168	15.32744312286377	0.9994667741496682
