method	mode	MAE	Corr	Acc7	Acc5	Acc2	F1	J	direction
control__N4_decision_randomization__seed23421	Overall	0.5560135303	0.7575552219	0.5212728551	0.5445382091	0.8448808806	0.844461382	0.5557904254	B
control__N4_decision_randomization__seed23422	LAV	0.5559855974	0.7583903862	0.5202766057	0.5440693858	0.845747889	0.8453076088	0.5559855974	B
control__N4_decision_randomization__seed23422	LA	0.5564917909	0.7576867865	0.5216830755	0.5447726207	0.8449939686	0.8442633649	0.5564917909	B
control__N4_decision_randomization__seed23422	LV	0.5555357406	0.7581897694	0.5203938115	0.54395218	0.8462002413	0.8457797084	0.5555357406	B
control__N4_decision_randomization__seed23422	L	0.5561503599	0.7577548744	0.522620722	0.5455930614	0.8455971049	0.8449216309	0.5561503599	B
control__N4_decision_randomization__seed23422	Overall	0.5560408722	0.7579969374	0.5212435537	0.544596812	0.845634801	0.8450703564	0.5560224473	B
control__N4_decision_randomization__seed23423	LAV	0.5553507002	0.7584052519	0.5225035162	0.5455930614	0.8433353438	0.8430727355	0.5553507002	B
control__N4_decision_randomization__seed23423	LA	0.5566312268	0.7573046125	0.518870136	0.5421940928	0.8452955368	0.8448353249	0.5566312268	B
control__N4_decision_randomization__seed23423	LV	0.5546669364	0.759020243	0.5199249883	0.5432489451	0.8449939686	0.8445701375	0.5546669364	B
control__N4_decision_randomization__seed23423	L	0.5565905554	0.7576035279	0.5220346929	0.5450070323	0.8458986731	0.8453652273	0.5565905554	B
control__N4_decision_randomization__seed23423	Overall	0.5558098547	0.7580765103	0.5208333333	0.5440107829	0.8448808806	0.844461382	0.5556568032	B
control__N2_global_competence	LAV	0.5545851748	0.7588833103	0.5221518987	0.5457102672	0.8448431846	0.8444743428	0.5545851748	B
control__N2_global_competence	LA	0.5559157857	0.7577820825	0.5230895452	0.5462962963	0.8448431846	0.8443250849	0.5559157857	B
control__N2_global_competence	LV	0.5546210657	0.7587762826	0.5215658697	0.5450070323	0.8458986731	0.8454526424	0.5546210657	B
control__N2_global_competence	L	0.5560012527	0.7576869249	0.5216830755	0.5447726207	0.8452955368	0.8447346252	0.5560012527	B
control__N2_global_competence	Overall	0.5552808197	0.7582766336	0.5221225973	0.5454465541	0.8452201448	0.8447472333	0.5550489381	B
control__N3_mode_only_competence	LAV	0.5545851748	0.7588833103	0.5221518987	0.5457102672	0.8448431846	0.8444743428	0.5545851748	B
control__N3_mode_only_competence	LA	0.5559157857	0.7577820825	0.5230895452	0.5462962963	0.8448431846	0.8443250849	0.5559157857	B
control__N3_mode_only_competence	LV	0.5546210657	0.7587762826	0.5215658697	0.5450070323	0.8458986731	0.8454526424	0.5546210657	B
control__N3_mode_only_competence	L	0.5560012527	0.7576869249	0.5216830755	0.5447726207	0.8452955368	0.8447346252	0.5560012527	B
control__N3_mode_only_competence	Overall	0.5552808197	0.7582766336	0.5221225973	0.5454465541	0.8452201448	0.8447472333	0.5550489381	B
