checkpoint_fold	expert_id	mode	model	AURC	random_expected_AURC	AURC_improvement_vs_random	relative_AURC_improvement	downward_adjacent_steps	monotonic_non_decreasing
0	cfcompat_seed1114	L	N1_matched_gaussian	0.5273736198	0.520363209	-0.007010410785	-0.01347214919	2	False
0	cfcompat_seed1114	L	N2_length_mask_only	0.5240059655	0.520363209	-0.00364275656	-0.007000411438	3	False
0	cfcompat_seed1114	L	N3_output_only	0.441088767	0.520363209	0.07927444202	0.1523444407	0	True
0	cfcompat_seed1114	L	N5_label_bin_prior	0.4551989956	0.520363209	0.06516421337	0.1252283256	0	True
0	cfcompat_seed1114	L	R0_global	0.4887223896	0.520363209	0.0316408194	0.06080525843	1	False
0	cfcompat_seed1114	L	R0_mode	0.4887223896	0.520363209	0.0316408194	0.06080525843	1	False
0	cfcompat_seed1114	L	R1	0.441088767	0.520363209	0.07927444202	0.1523444407	0	True
0	cfcompat_seed1114	L	R2	0.4234574968	0.520363209	0.09690571221	0.1862270632	0	True
0	cfcompat_seed1114	LA	N0_shuffle_seed23071	0.5084812612	0.5187214202	0.01024015907	0.01974115329	3	False
0	cfcompat_seed1114	LA	N0_shuffle_seed23072	0.5501207804	0.5187214202	-0.03139936018	-0.06053222203	5	False
0	cfcompat_seed1114	LA	N0_shuffle_seed23073	0.5291180542	0.5187214202	-0.01039663395	-0.02004280823	3	False
0	cfcompat_seed1114	LA	N1_matched_gaussian	0.5132807759	0.5187214202	0.005440644385	0.01048856703	1	False
0	cfcompat_seed1114	LA	N2_length_mask_only	0.5228442732	0.5187214202	-0.004122852945	-0.007948106217	2	False
0	cfcompat_seed1114	LA	N3_output_only	0.4389924172	0.5187214202	0.07972900305	0.1537029318	0	True
0	cfcompat_seed1114	LA	N5_label_bin_prior	0.453312941	0.5187214202	0.06540847919	0.1260955816	0	True
0	cfcompat_seed1114	LA	R0_global	0.4877494124	0.5187214202	0.0309720078	0.05970836483	1	False
0	cfcompat_seed1114	LA	R0_mode	0.4877494124	0.5187214202	0.0309720078	0.05970836483	1	False
0	cfcompat_seed1114	LA	R1	0.4389924172	0.5187214202	0.07972900305	0.1537029318	0	True
0	cfcompat_seed1114	LA	R2	0.4267863182	0.5187214202	0.09193510207	0.1772340576	0	True
0	cfcompat_seed1114	LAV	N0_shuffle_seed23071	0.4982181758	0.5160260028	0.01780782697	0.03450955353	1	False
0	cfcompat_seed1114	LAV	N0_shuffle_seed23072	0.5304398704	0.5160260028	-0.0144138676	-0.02793244435	4	False
0	cfcompat_seed1114	LAV	N0_shuffle_seed23073	0.5417307111	0.5160260028	-0.02570470833	-0.04981281601	4	False
0	cfcompat_seed1114	LAV	N1_matched_gaussian	0.519753004	0.5160260028	-0.003727001225	-0.007222506628	3	False
0	cfcompat_seed1114	LAV	N2_length_mask_only	0.5186342497	0.5160260028	-0.00260824693	-0.005054487402	3	False
0	cfcompat_seed1114	LAV	N3_output_only	0.428046476	0.5160260028	0.08797952678	0.1704943672	0	True
0	cfcompat_seed1114	LAV	N5_label_bin_prior	0.4567784559	0.5160260028	0.05924754682	0.1148150413	0	True
0	cfcompat_seed1114	LAV	R0_global	0.4861630303	0.5160260028	0.02986297248	0.05787106138	1	False
0	cfcompat_seed1114	LAV	R0_mode	0.4861630303	0.5160260028	0.02986297248	0.05787106138	1	False
0	cfcompat_seed1114	LAV	R1	0.428046476	0.5160260028	0.08797952678	0.1704943672	0	True
0	cfcompat_seed1114	LAV	R2	0.4323463946	0.5160260028	0.08367960812	0.1621616114	0	True
0	cfcompat_seed1114	LV	N0_shuffle_seed23071	0.5281429544	0.5168431494	-0.01129980501	-0.02186312235	2	False
0	cfcompat_seed1114	LV	N0_shuffle_seed23072	0.5253745339	0.5168431494	-0.008531384475	-0.01650671869	4	False
0	cfcompat_seed1114	LV	N0_shuffle_seed23073	0.5195581179	0.5168431494	-0.00271496851	-0.00525298345	3	False
0	cfcompat_seed1114	LV	N1_matched_gaussian	0.5118191087	0.5168431494	0.00502404074	0.009720629452	1	False
