checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23071	1	1530	0.5675995113	0	0.5675995113	0
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23072	0.1	153	0.6439820954	0.5591125575	0.5675995113	-0.07638258418
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23072	0.2	306	0.6236664124	0.553582786	0.5675995113	-0.05606690117
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23072	0.3	459	0.6205892804	0.5448896102	0.5675995113	-0.05298976919
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23072	0.5	765	0.5916549348	0.5435440877	0.5675995113	-0.02405542358
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23072	0.7	1071	0.5677498187	0.567248794	0.5675995113	-0.0001503074011
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23072	1	1530	0.5675995113	0	0.5675995113	0
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23073	0.1	153	0.6135385508	0.5624951735	0.5675995113	-0.04593903959
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23073	0.2	306	0.5976181877	0.5600948421	0.5675995113	-0.03001867647
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23073	0.3	459	0.6095062652	0.5496394739	0.5675995113	-0.04190675389
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23073	0.5	765	0.5878737309	0.5473252916	0.5675995113	-0.02027421968
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23073	0.7	1071	0.573577482	0.5536509129	0.5675995113	-0.00597797072
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23073	1	1530	0.5675995113	0	0.5675995113	0
0	uniform_kd_seed1111	LA	R0_global	0.1	153	0.4678413346	0.5811520198	0.5698209512	0.1019796166
0	uniform_kd_seed1111	LA	R0_global	0.2	306	0.5405989374	0.5771264547	0.5698209512	0.02922201386
0	uniform_kd_seed1111	LA	R0_global	0.3	459	0.5521020491	0.5774147665	0.5698209512	0.01771890219
0	uniform_kd_seed1111	LA	R0_global	0.5	765	0.5384461224	0.60119578	0.5698209512	0.0313748288
0	uniform_kd_seed1111	LA	R0_global	0.7	1071	0.5515033065	0.6125621224	0.5698209512	0.01831764477
0	uniform_kd_seed1111	LA	R0_global	1	1530	0.5698209512	0	0.5698209512	-1.110223025e-16
0	uniform_kd_seed1111	LA	R0_mode	0.1	153	0.4678413346	0.5811520198	0.5698209512	0.1019796166
0	uniform_kd_seed1111	LA	R0_mode	0.2	306	0.5405989374	0.5771264547	0.5698209512	0.02922201386
0	uniform_kd_seed1111	LA	R0_mode	0.3	459	0.5521020491	0.5774147665	0.5698209512	0.01771890219
0	uniform_kd_seed1111	LA	R0_mode	0.5	765	0.5384461224	0.60119578	0.5698209512	0.0313748288
