checkpoint_fold	expert_id	mode	model	Error_Spearman	Error_Pearson	Risk_MAE	Risk_RMSE	bad20_AUROC	bad20_AUPRC	bad20_Brier	bad20_ECE	bad10_AUROC	fixed_bad_AUROC	fixed_bad_AUPRC	confident_wrong_AUROC	confident_wrong_AUPRC	confident_wrong_recall_at_precision_0p8
0	uniform_kd_seed1111	L	N0_shuffle_seed23071	-0.03267017358	-0.03628759885	0.3712109829	0.554000364	0.4805358232	0.1945858455	0.2586583999	0.3056601221	0.4596273947	0.4809	0.1669222559	0.4882879819	0.03851930041	0
0	uniform_kd_seed1111	L	N0_shuffle_seed23072	-0.04827065907	-0.05968793166	0.3754138991	0.5574228345	0.4869830254	0.1907302509	0.2617760684	0.3080792961	0.4833583003	0.480315625	0.1555926833	0.4953174603	0.03781355635	0
0	uniform_kd_seed1111	L	N0_shuffle_seed23073	0.03915359191	-0.01606541634	0.3729364334	0.6010172132	0.5011221999	0.2257048014	0.2532533296	0.302623978	0.5151120348	0.49965625	0.1954165053	0.5462244898	0.04262139506	0
0	moddrop_seed1111	LAV	R0_global	0	0	0.3857364166	0.5133701397	0.5	0.2039215686	0.1623529412	0.003921568627	0.5	0.5	0.1614379085			
0	moddrop_seed1111	LAV	R0_mode	0	0	0.3856613049	0.5133701199	0.5	0.2039215686	0.1623529412	0.003921568627	0.5	0.5	0.1614379085			
0	moddrop_seed1111	LAV	R1	0.1871779443	0.134355318	0.3713389957	0.5487155241	0.6134649594	0.2895976383	0.1581206638	0.01294324537	0.6193335988	0.6010725747	0.239527563	0.8367206204	0.1629615499	0.01923076923
0	moddrop_seed1111	LAV	R2	0.2511970477	0.2236425181	0.3614895155	0.5408254941	0.6305655551	0.2937674382	0.1570324581	0.01760468532	0.6666454268	0.6405754479	0.2612287011	0.898173207	0.1694924178	0
0	moddrop_seed1111	LAV	N3_output_only	0.1871779443	0.134355318	0.3713389957	0.5487155241	0.6134649594	0.2895976383	0.1581206638	0.01294324537	0.6193335988	0.6010725747	0.239527563	0.8367206204	0.1629615499	0.01923076923
0	moddrop_seed1111	LAV	N2_length_mask_only	0.02673086413	0.0511552438	0.3762016965	0.5591849896	0.5041866658	0.2117248972	0.2480649121	0.2904652442	0.5218425594	0.5200898703	0.1774564053	0.5608020194	0.03766212473	0
0	moddrop_seed1111	LAV	N5_label_bin_prior	0.1766389398	0.1057629977	0.3714736893	0.551182568	0.5726653615	0.2303091902	0.2505894889	0.2991957151	0.5574883844	0.563737571	0.1805891587	0.7211928802	0.0668924204	0
0	moddrop_seed1111	LAV	N1_matched_gaussian	0.03753345172	0.05796514457	0.3782031678	0.5573019128	0.5356906025	0.2270229491	0.2516902051	0.2826492937	0.524524094	0.5383605606	0.1843268629	0.4996877277	0.0341168407	0
