checkpoint_fold	expert_id	mode	proxy	Error_Spearman	Error_Pearson	bad20_AUROC	bad10_AUROC	confident_wrong_AUROC
0	moddrop_seed1111	L	hidden_centroid_distance	0.1829146893	0.07796150408	0.5757718096	0.5590707553	0.1864460167
0	moddrop_seed1111	L	hidden_diagonal_mahalanobis	0.1355942587	0.1986853822	0.5801847817	0.6076675959	0.3356876333
0	moddrop_seed1111	L	hidden_knn30_distance	0.1476359183	0.2000593715	0.5901119953	0.6224877207	0.3357724365
0	moddrop_seed1111	L	hidden_nearest_source_distance	0.1523334979	0.2299927916	0.5960814808	0.6288384442	0.3960917814
0	moddrop_seed1114	LAV	active_head_std	0.1134890669	0.08183775334	0.5345346143	0.5644114964	0.2194233371
0	moddrop_seed1114	LAV	submode_prediction_variance	0.09523604259	0.07588753615	0.560227007	0.5565875912	0.3161106485
0	moddrop_seed1114	LAV	hidden_centroid_distance	0.157654586	0.06370804784	0.5531038111	0.5321304745	0.248230457
0	moddrop_seed1114	LAV	hidden_diagonal_mahalanobis	0.08898470873	0.08757723701	0.52774619	0.5368385036	0.3326871032
0	moddrop_seed1114	LAV	hidden_knn30_distance	0.1474101323	0.1200513802	0.5513874423	0.5487682482	0.2577677735
0	moddrop_seed1114	LAV	hidden_nearest_source_distance	0.1272353125	0.1257592323	0.5477660637	0.5485310219	0.3263505777
0	moddrop_seed1114	LA	active_head_std	0.09116679649	0.07365642206	0.5176313049	0.4926368613	0.222277882
0	moddrop_seed1114	LA	submode_prediction_variance	0.02809407673	0.005977730247	0.5123785789	0.5431341241	0.3818425989
0	moddrop_seed1114	LA	hidden_centroid_distance	0.164945373	0.06967940139	0.5490626395	0.5215465328	0.2068873636
0	moddrop_seed1114	LA	hidden_diagonal_mahalanobis	0.1125620056	0.1082443172	0.5443811508	0.5470437956	0.3495694065
0	moddrop_seed1114	LA	hidden_knn30_distance	0.1652609883	0.1341504798	0.5679559802	0.5670985401	0.3115194407
0	moddrop_seed1114	LA	hidden_nearest_source_distance	0.1406528122	0.1497259244	0.5864560971	0.5923494526	0.4131778649
0	moddrop_seed1114	LV	active_head_std	0.0856422858	0.05831403898	0.5176118314	0.5226964416	0.183616381
0	moddrop_seed1114	LV	submode_prediction_variance	0.07167096831	0.0678099538	0.5467958487	0.5409670204	0.2895835819
0	moddrop_seed1114	LV	hidden_centroid_distance	0.1710165985	0.06496834417	0.5540428866	0.5368519434	0.2772541065
0	moddrop_seed1114	LV	hidden_diagonal_mahalanobis	0.1161111029	0.113084948	0.5517246931	0.5677172892	0.3454109162
0	moddrop_seed1114	LV	hidden_knn30_distance	0.1473990322	0.1262450648	0.5546599983	0.5579127894	0.2744700314
0	moddrop_seed1114	LV	hidden_nearest_source_distance	0.1224139504	0.1305221876	0.5533050356	0.5556261314	0.3253390606
0	moddrop_seed1114	L	active_head_std	0.102351972	0.05333663888	0.5264015199	0.5014311494	0.1660367408
0	moddrop_seed1114	L	submode_prediction_variance	0	0	0.5	0.5	0.5
0	moddrop_seed1114	L	hidden_centroid_distance	0.1892404021	0.07114224079	0.5521583302	0.533264366	0.1833853388
0	moddrop_seed1114	L	hidden_diagonal_mahalanobis	0.1110940614	0.1367938784	0.5620237043	0.594518489	0.4003471917
0	moddrop_seed1114	L	hidden_knn30_distance	0.1310203594	0.1654546998	0.5872647467	0.6210678184	0.4250571328
0	moddrop_seed1114	L	hidden_nearest_source_distance	0.1045558836	0.1551348645	0.5924592649	0.6205830368	0.4701810671
0	cfcompat_seed1111	LAV	active_head_std	0.07532935834	0.1220812714	0.5564648922	0.588825338	0.2188905758
0	cfcompat_seed1111	LAV	submode_prediction_variance	0.1040401045	0.04524938738	0.5642529649	0.5839985486	0.3076220198
0	cfcompat_seed1111	LAV	hidden_centroid_distance	0.1298833951	0.0617624891	0.5777155169	0.569580246	0.2051141475
0	cfcompat_seed1111	LAV	hidden_diagonal_mahalanobis	0.08864342875	0.116322828	0.5731906794	0.6037162936	0.3087887989
0	cfcompat_seed1111	LAV	hidden_knn30_distance	0.1023865718	0.1039489927	0.5701977876	0.5861374227	0.2873088169
0	cfcompat_seed1111	LAV	hidden_nearest_source_distance	0.09835462325	0.11102819	0.5687532257	0.6034393858	0.3491621682
0	cfcompat_seed1111	LA	active_head_std	0.08333459186	0.1436912933	0.5666204625	0.5977169366	0.192658022
0	cfcompat_seed1111	LA	submode_prediction_variance	0.04167201595	0.04330292154	0.5085706443	0.5234621498	0.4019071504
0	cfcompat_seed1111	LA	hidden_centroid_distance	0.1321009546	0.0611021804	0.5765511562	0.5672216646	0.1983078174
0	cfcompat_seed1111	LA	hidden_diagonal_mahalanobis	0.09234283537	0.1392090719	0.5767981884	0.6102560162	0.3105182654
0	cfcompat_seed1111	LA	hidden_knn30_distance	0.114795674	0.1299103913	0.5881973513	0.6073361539	0.2826137883
0	cfcompat_seed1111	LA	hidden_nearest_source_distance	0.1102892002	0.1465785194	0.5893995746	0.6328705416	0.345174937
0	cfcompat_seed1111	LV	active_head_std	0.08865971879	0.1118796847	0.564135543	0.6043864734	0.2251984127
0	cfcompat_seed1111	LV	submode_prediction_variance	0.09359600774	0.0336650804	0.5728233948	0.5821328502	0.3241167435
0	cfcompat_seed1111	LV	hidden_centroid_distance	0.1380022904	0.06373215451	0.5786903913	0.5695169082	0.2139496928
0	cfcompat_seed1111	LV	hidden_diagonal_mahalanobis	0.1031118403	0.1271620361	0.5779967832	0.5945652174	0.3168042755
0	cfcompat_seed1111	LV	hidden_knn30_distance	0.1190048161	0.1205179936	0.5832944203	0.5929613527	0.3136680748
0	cfcompat_seed1111	LV	hidden_nearest_source_distance	0.09726459122	0.1117960484	0.5657466801	0.5837536232	0.3868087558
0	cfcompat_seed1111	L	active_head_std	0.08596373311	0.1448583401	0.5746555916	0.6286924492	0.1813585265
0	cfcompat_seed1111	L	submode_prediction_variance	0	0	0.5	0.5	0.5
0	cfcompat_seed1111	L	hidden_centroid_distance	0.1523036678	0.06168318665	0.584443033	0.5743388289	0.2213314263
0	cfcompat_seed1111	L	hidden_diagonal_mahalanobis	0.128452109	0.1738904742	0.6056386614	0.6323134626	0.3563434708
0	cfcompat_seed1111	L	hidden_knn30_distance	0.1340578718	0.1686716601	0.6122804328	0.635353385	0.3468709224
0	cfcompat_seed1111	L	hidden_nearest_source_distance	0.1345869917	0.1708041752	0.6091457138	0.6430804547	0.405462712
0	cfcompat_seed1114	LAV	active_head_std	0.08531857909	0.07896211187	0.5419553482	0.5468878334	0.2247318908
0	cfcompat_seed1114	LAV	submode_prediction_variance	0.05535439129	0.05605819821	0.555687713	0.5584133843	0.2507114241
0	cfcompat_seed1114	LAV	hidden_centroid_distance	0.1306285052	0.04916402192	0.5432123462	0.5406251116	0.302882523
0	cfcompat_seed1114	LAV	hidden_diagonal_mahalanobis	0.07322301155	0.07792393432	0.5386952631	0.5394243474	0.355488846
0	cfcompat_seed1114	LAV	hidden_knn30_distance	0.1076948559	0.08982581791	0.5473158363	0.5447898439	0.30049437
0	cfcompat_seed1114	LAV	hidden_nearest_source_distance	0.09143076748	0.08190482602	0.5366164859	0.5415134093	0.3618163354
0	cfcompat_seed1114	LA	active_head_std	0.07816003553	0.07264672832	0.5345551912	0.5537845805	0.2283680116
0	cfcompat_seed1114	LA	submode_prediction_variance	0.04321324046	0.05910880409	0.5312088789	0.5369671515	0.3096698802
0	cfcompat_seed1114	LA	hidden_centroid_distance	0.1430660094	0.05488675454	0.5429088379	0.5382236261	0.2683264626
0	cfcompat_seed1114	LA	hidden_diagonal_mahalanobis	0.1088359492	0.1091228035	0.5691562224	0.5726624521	0.3745793705
0	cfcompat_seed1114	LA	hidden_knn30_distance	0.1294197154	0.1146576511	0.573271027	0.5803023447	0.3212365155
0	cfcompat_seed1114	LA	hidden_nearest_source_distance	0.1208994528	0.1374728184	0.5892367927	0.6180361214	0.3890998799
0	cfcompat_seed1114	LV	active_head_std	0.10060295	0.07122159734	0.5439894912	0.5439882237	0.2464995483
