mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LV	16	hgb	fixed	0.2112134119	0.3486313751
LV	32	hgb	fixed	0.1939203617	0.34929684
LV	64	ridge	10.0	0.1752613156	0.3550780109
LV	64	hgb	fixed	0.174099118	0.3511350838
LV	64	ridge	1.0	0.1726000337	0.3552401699
LV	16	ridge	10.0	0.1721195648	0.3525596263
LV	16	ridge	1.0	0.1710537598	0.35233613
LV	32	ridge	10.0	0.1699486985	0.3536017835
LV	64	ridge	0.1	0.1686479841	0.3556482195
LV	16	ridge	0.1	0.1681636621	0.3524369091
LV	32	ridge	1.0	0.1667225583	0.3537000379
LV	32	ridge	0.1	0.1613642993	0.3544611713
