mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
L	16	hgb	fixed	0.2336657123	0.3545065269
L	32	hgb	fixed	0.232833056	0.3547871398
L	64	hgb	fixed	0.2309583487	0.3555832844
L	16	ridge	0.1	0.2169371737	0.3582877107
L	32	ridge	0.1	0.2162929071	0.3590114902
L	16	ridge	10.0	0.2155491264	0.356782282
L	16	ridge	1.0	0.2143838455	0.357450553
L	32	ridge	1.0	0.2125044268	0.3587927353
L	32	ridge	10.0	0.2106690268	0.3581673966
L	64	ridge	0.1	0.2052868569	0.3582208916
L	64	ridge	10.0	0.2021994146	0.3578432946
L	64	ridge	1.0	0.2021769371	0.3581483392
